state,basic_retrofit_net_equipment_capitalCostincremental_costs_low,basic_retrofit_net_equipment_capitalCost_reference,basic_retrofit_net_equipment_capitalCostincremental_costs_high,moderate_retrofit_net_equipment_capitalCostincremental_costs_low,moderate_retrofit_net_equipment_capitalCost_reference,moderate_retrofit_net_equipment_capitalCostincremental_costs_high,advanced_retrofit_net_equipment_capitalCostincremental_costs_low,advanced_retrofit_net_equipment_capitalCost_reference,advanced_retrofit_net_equipment_capitalCostincremental_costs_high,upgrade_package
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,MI - Basic
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,MI - Moderate
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,MI - Moderate
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,MI - Moderate
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,MI - Moderate
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,MI - Moderate
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,MI - Moderate
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,MI - Moderate
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,MI - Moderate
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,MI - Moderate
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,MI - Moderate
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,MI - Advanced
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,MI - Advanced
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,MI - Advanced
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,MI - Advanced
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,MI - Advanced
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,MI - Advanced
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,MI - Advanced
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,MI - Advanced
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,MI - Advanced
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,MI - Advanced
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,NY - Basic
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,NY - Basic
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,NY - Basic
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,NY - Basic
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,NY - Basic
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,NY - Basic
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,NY - Basic
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,NY - Basic
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,NY - Basic
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,NY - Basic
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,NY - Moderate
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,NY - Moderate
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,NY - Moderate
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,NY - Moderate
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,NY - Moderate
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,NY - Moderate
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,NY - Moderate
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,NY - Moderate
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,NY - Moderate
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,NY - Moderate
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,NY - Advanced
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,NY - Advanced
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,NY - Advanced
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,NY - Advanced
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,NY - Advanced
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,NY - Advanced
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,NY - Advanced
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,NY - Advanced
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,NY - Advanced
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,NY - Advanced
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,PA - Basic
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,PA - Basic
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,PA - Basic
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,PA - Basic
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,PA - Basic
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,PA - Basic
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,PA - Basic
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,PA - Basic
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,PA - Basic
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,PA - Basic
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,PA - Moderate
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,PA - Moderate
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,PA - Moderate
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,PA - Moderate
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,PA - Moderate
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,PA - Moderate
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,PA - Moderate
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,PA - Moderate
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,PA - Moderate
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,PA - Moderate
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,PA - Advanced
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,PA - Advanced
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,PA - Advanced
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,PA - Advanced
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,PA - Advanced
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,PA - Advanced
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,PA - Advanced
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,PA - Advanced
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,PA - Advanced
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,PA - Advanced
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,TX - Basic
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,TX - Basic
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,TX - Basic
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,TX - Basic
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,TX - Basic
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,TX - Basic
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,TX - Basic
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,TX - Basic
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,TX - Basic
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,TX - Basic
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,TX - Moderate
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,TX - Moderate
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,TX - Moderate
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,TX - Moderate
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,TX - Moderate
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,TX - Moderate
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,TX - Moderate
PA,13663.215,19921.845,26648.640000000003,15281.815000000002,22242.47,29665.195000000003,15870.485,23024.99,30663.505000000005,TX - Moderate
TX,14795.320000000002,21915.81,29416.670000000002,16421.675000000003,24006.105000000003,32039.910000000003,17199.22,24987.665000000005,33234.240000000005,TX - Moderate
WA,11616.99,17189.340000000004,23176.125000000004,14424.875000000002,20997.815000000002,27936.29,16696.97,23847.295000000002,31461.985000000008,TX - Moderate
CA,12138.720000000001,18091.63,24521.92,14499.150000000001,21295.489999999998,28572.91,15626.440000000002,22742.8,30358.89,TX - Advanced
CO,14841.67,21314.43,28821.550000000003,16445.910000000003,23532.68,31744.300000000003,17314.480000000003,24693.510000000002,33076.27,TX - Advanced
FL,11379.37,16996.960000000003,22938.710000000003,13229.245,19537.320000000003,26185.825000000004,13621.210000000001,20109.86,26913.300000000003,TX - Advanced
MA,15342.940000000002,22310.100000000002,29612.010000000002,17269.9,25098.850000000002,33225.89,17807.395,25697.955,33995.975,TX - Advanced
MD,13374.160000000002,19562.41,26690.315000000002,15651.315000000004,22553.480000000003,30539.850000000002,16738.495000000003,24031.030000000002,32295.640000000003,TX - Advanced
MI,15422.580000000002,22186.820000000003,29295.760000000002,16531.55,23835.49,31416.500000000007,16999.66,24426.370000000006,32221.010000000002,TX - Advanced
NY,15650.630000000001,22437.66,29709.420000000006,17600.87,25259.88,33358.770000000004,18279.61,26114.300000000003,34400.18,TX - Advanced
