Region,Units,Fuel Type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
West North Central,USD2022/kWh-equivalent,electricity,0.126522259,0.121110884,0.120912495,0.12013815,0.118505522,0.117161853,0.117108106,0.117035799,0.116771908,0.116807307,0.116772362,0.116985464,0.116785031,0.116100911,0.115499751,0.115847317,0.116420942,0.118264597,0.120457867,0.121209727,0.120826474,0.12007671,0.119680904,0.119504819,0.118957546,0.118208512,0.117336014,0.116292386,0.11519899
South Atlantic,USD2022/kWh-equivalent,propane,0.110213283,0.118205464,0.119204498,0.115135819,0.110964608,0.107598205,0.105671515,0.104940427,0.105273939,0.106363823,0.108118819,0.110349556,0.112581195,0.114369546,0.11570944,0.116903297,0.118442406,0.119190621,0.12040898,0.121602549,0.122451014,0.122882816,0.122984901,0.123206884,0.123288215,0.123423085,0.123724263,0.123812939,0.123743922
South Atlantic,USD2022/kWh-equivalent,fuelOil,0.120594846,0.112772894,0.108885567,0.103450143,0.101842416,0.100347754,0.099161942,0.099421413,0.099455563,0.100073055,0.100328901,0.100597089,0.100915778,0.101226942,0.101494065,0.101845778,0.102144959,0.102326846,0.102549556,0.103128061,0.10318613,0.103607621,0.103332116,0.103710058,0.104487509,0.104541532,0.104684191,0.104963413,0.105004321
South Atlantic,USD2022/kWh-equivalent,naturalGas,0.057046563,0.054236109,0.053398065,0.052466078,0.051542017,0.051375017,0.051632577,0.051901242,0.052290973,0.052786611,0.053330451,0.053970317,0.054484584,0.05499129,0.055375348,0.055784799,0.05631801,0.056553836,0.057016495,0.05740572,0.057624017,0.05774127,0.057843706,0.058043307,0.058216447,0.058326208,0.05844758,0.058579038,0.05877216
South Atlantic,USD2022/kWh-equivalent,electricity,0.136722109,0.130807754,0.130407143,0.127842509,0.125229833,0.122558775,0.120462451,0.119462454,0.118980044,0.119445215,0.11969942,0.122281683,0.123947911,0.123797147,0.124382096,0.126044239,0.128131085,0.128897891,0.129583703,0.129302041,0.128985836,0.128603457,0.128746451,0.129408307,0.129524386,0.129465812,0.128860761,0.12821557,0.127052631
East South Central,USD2022/kWh-equivalent,propane,0.104975416,0.112587782,0.113539334,0.109664007,0.105691044,0.102484608,0.100649498,0.099953147,0.100270816,0.101308901,0.102980498,0.105105215,0.107230795,0.108934143,0.110210379,0.111347485,0.112813461,0.113526106,0.11468657,0.115823413,0.116631556,0.117042853,0.117140082,0.117351505,0.117428959,0.11755742,0.117844294,0.117928761,0.117863014
East South Central,USD2022/kWh-equivalent,fuelOil,0.11649402,0.109507406,0.10651871,0.100875085,0.099256372,0.097755427,0.096609584,0.096877031,0.096864734,0.097473423,0.09773059,0.097990901,0.098323573,0.098665106,0.098917894,0.099248939,0.099554232,0.099788522,0.100018038,0.100600993,0.100603266,0.101015461,0.100725154,0.100970427,0.101693631,0.101740823,0.101884573,0.102166887,0.10226273
East South Central,USD2022/kWh-equivalent,naturalGas,0.047063311,0.051338679,0.041299389,0.040652137,0.040330966,0.040742096,0.041649939,0.042047283,0.042528997,0.043141215,0.04375487,0.044495788,0.045102567,0.045619133,0.045877922,0.046222655,0.046729829,0.04676571,0.04722842,0.047636256,0.047782724,0.047780792,0.047785614,0.04790843,0.047988604,0.048005481,0.048016498,0.048018765,0.048084273
East South Central,USD2022/kWh-equivalent,electricity,0.12363473,0.119360863,0.111482119,0.107953727,0.104904188,0.102920904,0.101775648,0.101393038,0.100882795,0.101142201,0.102016072,0.104674348,0.105128089,0.104707816,0.106495471,0.107533485,0.108646154,0.109639205,0.110021259,0.110562048,0.110635334,0.110781399,0.110986014,0.110765724,0.11015873,0.109629505,0.109812648,0.109241785,0.109394478
West South Central,USD2022/kWh-equivalent,propane,0.103021133,0.110491782,0.111425614,0.107622433,0.10372343,0.1005767,0.098775754,0.098092369,0.098404119,0.099422884,0.101063355,0.103148515,0.105234529,0.10690616,0.108158638,0.10927458,0.110713256,0.111412648,0.112551498,0.113667174,0.114460276,0.114863918,0.114959338,0.115166829,0.115242836,0.115368904,0.115650437,0.115733331,0.115668823
