"Year","Cambium.GEA","Source","Fraction"
2028,"MROWc","Coal",0.0857221202392628
2029,"MROWc","Coal",0.0718198810050105
2030,"MROWc","Coal",0.0579176417707582
2031,"MROWc","Coal",0.0463341134166066
2032,"MROWc","Coal",0.0347505850624549
2033,"MROWc","Coal",0.0231670567083033
2034,"MROWc","Coal",0.0115835283541516
2035,"MROWc","Coal",0
2036,"MROWc","Coal",0
2037,"MROWc","Coal",0
2038,"MROWc","Coal",0
2039,"MROWc","Coal",0
2040,"MROWc","Coal",0
2041,"MROWc","Coal",0
2042,"MROWc","Coal",0
2043,"MROWc","Coal",0
2044,"MROWc","Coal",0
2045,"MROWc","Coal",0
2046,"MROWc","Coal",0
2047,"MROWc","Coal",0
2048,"MROWc","Coal",0
2049,"MROWc","Coal",0
2050,"MROWc","Coal",0
2022,"NEWEc","Coal",0.00240256980067433
2023,"NEWEc","Coal",0.00240256980067433
2024,"NEWEc","Coal",0.00240256980067433
2025,"NEWEc","Coal",0.00162977559202167
2026,"NEWEc","Coal",0.000856981383369012
2027,"NEWEc","Coal",0.000523449286784803
2028,"NEWEc","Coal",0.000189917190200594
2029,"NEWEc","Coal",0.000187052859153165
2030,"NEWEc","Coal",0.000184188528105736
2031,"NEWEc","Coal",0.000147350822484589
2032,"NEWEc","Coal",0.000110513116863442
2033,"NEWEc","Coal",7.36754112422946e-05
2034,"NEWEc","Coal",3.68377056211473e-05
2035,"NEWEc","Coal",0
2036,"NEWEc","Coal",0
2037,"NEWEc","Coal",0
2038,"NEWEc","Coal",0
2039,"NEWEc","Coal",0
2040,"NEWEc","Coal",0
2041,"NEWEc","Coal",0
2042,"NEWEc","Coal",0
2043,"NEWEc","Coal",0
2044,"NEWEc","Coal",0
2045,"NEWEc","Coal",0
2046,"NEWEc","Coal",0
2047,"NEWEc","Coal",0
2048,"NEWEc","Coal",0
2049,"NEWEc","Coal",0
2050,"NEWEc","Coal",0
2022,"NWPPc","Coal",0.137574637482899
2023,"NWPPc","Coal",0.137574637482899
2024,"NWPPc","Coal",0.137574637482899
2025,"NWPPc","Coal",0.11709154557925
2026,"NWPPc","Coal",0.096608453675602
2027,"NWPPc","Coal",0.0885863875598275
2028,"NWPPc","Coal",0.080564321444053
2029,"NWPPc","Coal",0.0790309770970699
2030,"NWPPc","Coal",0.0774976327500868
2031,"NWPPc","Coal",0.0640224193797088
2032,"NWPPc","Coal",0.0505472060093308
2033,"NWPPc","Coal",0.0370719926389527
2034,"NWPPc","Coal",0.0235967792685747
2035,"NWPPc","Coal",0.0101215658981967
2036,"NWPPc","Coal",0.00996300386758108
2037,"NWPPc","Coal",0.00980444183696548
2038,"NWPPc","Coal",0.00964587980634988
2039,"NWPPc","Coal",0.00948731777573428
2040,"NWPPc","Coal",0.00932875574511868
2041,"NWPPc","Coal",0.00813923086436556
2042,"NWPPc","Coal",0.00694970598361243
2043,"NWPPc","Coal",0.00576018110285931
2044,"NWPPc","Coal",0.00457065622210618
2045,"NWPPc","Coal",0.00338113134135306
2046,"NWPPc","Coal",0.00312450503298174
2047,"NWPPc","Coal",0.00286787872461043
2048,"NWPPc","Coal",0.00261125241623911
2049,"NWPPc","Coal",0.00235462610786779
2050,"NWPPc","Coal",0.00209799979949648
2022,"NYSTc","Coal",0.0114668421492225
2023,"NYSTc","Coal",0.0114668421492225
2024,"NYSTc","Coal",0.0114668421492225
2025,"NYSTc","Coal",0.00811923102873629
2026,"NYSTc","Coal",0.00477161990825004
2027,"NYSTc","Coal",0.00430149467744733
2028,"NYSTc","Coal",0.00383136944664461
2029,"NYSTc","Coal",0.00323270558622595
2030,"NYSTc","Coal",0.00263404172580728
2031,"NYSTc","Coal",0.00210723338064582
2032,"NYSTc","Coal",0.00158042503548437
2033,"NYSTc","Coal",0.00105361669032291
2034,"NYSTc","Coal",0.000526808345161455
2035,"NYSTc","Coal",0
2036,"NYSTc","Coal",0
2037,"NYSTc","Coal",0
2038,"NYSTc","Coal",0
2039,"NYSTc","Coal",0
2040,"NYSTc","Coal",0
2041,"NYSTc","Coal",0
2042,"NYSTc","Coal",0
2043,"NYSTc","Coal",0
2044,"NYSTc","Coal",0
2045,"NYSTc","Coal",0
2046,"NYSTc","Coal",0
2047,"NYSTc","Coal",0
