"Year","Cambium.GEA","Source","Fraction"
2037,"MROEc","Coal",0.0551013138917423
2038,"MROEc","Coal",0.0478275823686574
2039,"MROEc","Coal",0.0405538508455725
2040,"MROEc","Coal",0.0332801193224876
2041,"MROEc","Coal",0.0336157728619224
2042,"MROEc","Coal",0.0339514264013572
2043,"MROEc","Coal",0.034287079940792
2044,"MROEc","Coal",0.0346227334802268
2045,"MROEc","Coal",0.0349583870196615
2046,"MROEc","Coal",0.0369153108466743
2047,"MROEc","Coal",0.0388722346736871
2048,"MROEc","Coal",0.0408291585006998
2049,"MROEc","Coal",0.0427860823277126
2050,"MROEc","Coal",0.0447430061547254
2022,"MROWc","Coal",0.295722378540839
2023,"MROWc","Coal",0.264290631955463
2024,"MROWc","Coal",0.232858885370087
2025,"MROWc","Coal",0.200336866934955
2026,"MROWc","Coal",0.167814848499824
2027,"MROWc","Coal",0.144622589283731
2028,"MROWc","Coal",0.121430330067638
2029,"MROWc","Coal",0.111847932694401
2030,"MROWc","Coal",0.102265535321164
2031,"MROWc","Coal",0.0982957520522933
2032,"MROWc","Coal",0.0943259687834221
2033,"MROWc","Coal",0.0903561855145509
2034,"MROWc","Coal",0.0863864022456798
2035,"MROWc","Coal",0.0824166189768086
2036,"MROWc","Coal",0.0786295818408465
2037,"MROWc","Coal",0.0748425447048843
2038,"MROWc","Coal",0.0710555075689222
2039,"MROWc","Coal",0.0672684704329601
2040,"MROWc","Coal",0.0634814332969979
2041,"MROWc","Coal",0.0619850802602398
2042,"MROWc","Coal",0.0604887272234817
2043,"MROWc","Coal",0.0589923741867236
2044,"MROWc","Coal",0.0574960211499655
2045,"MROWc","Coal",0.0559996681132075
2046,"MROWc","Coal",0.0532845368079576
2047,"MROWc","Coal",0.0505694055027077
2048,"MROWc","Coal",0.0478542741974578
2049,"MROWc","Coal",0.0451391428922079
2050,"MROWc","Coal",0.042424011586958
2022,"NEWEc","Coal",0.00810595010633171
2023,"NEWEc","Coal",0.00540080953214936
2024,"NEWEc","Coal",0.00269566895796701
2025,"NEWEc","Coal",0.00222474023637456
2026,"NEWEc","Coal",0.00175381151478211
2027,"NEWEc","Coal",0.00147280249097002
2028,"NEWEc","Coal",0.00119179346715792
2029,"NEWEc","Coal",0.00119539052157919
2030,"NEWEc","Coal",0.00119898757600045
2031,"NEWEc","Coal",0.00117201739786772
2032,"NEWEc","Coal",0.00114504721973499
2033,"NEWEc","Coal",0.00111807704160226
2034,"NEWEc","Coal",0.00109110686346954
2035,"NEWEc","Coal",0.00106413668533681
2036,"NEWEc","Coal",0.0009787292811265
2037,"NEWEc","Coal",0.000893321876916193
2038,"NEWEc","Coal",0.000807914472705886
2039,"NEWEc","Coal",0.000722507068495579
2040,"NEWEc","Coal",0.000637099664285272
2041,"NEWEc","Coal",0.000509679731428218
2042,"NEWEc","Coal",0.000382259798571163
2043,"NEWEc","Coal",0.000254839865714109
2044,"NEWEc","Coal",0.000127419932857054
2045,"NEWEc","Coal",0
2046,"NEWEc","Coal",0
2047,"NEWEc","Coal",0
2048,"NEWEc","Coal",0
2049,"NEWEc","Coal",0
2050,"NEWEc","Coal",0
2022,"NWPPc","Coal",0.199970792259106
2023,"NWPPc","Coal",0.174560954445996
2024,"NWPPc","Coal",0.149151116632886
2025,"NWPPc","Coal",0.138579705211929
2026,"NWPPc","Coal",0.128008293790972
2027,"NWPPc","Coal",0.120534700385014
2028,"NWPPc","Coal",0.113061106979055
2029,"NWPPc","Coal",0.106908821914175
2030,"NWPPc","Coal",0.100756536849295
2031,"NWPPc","Coal",0.0976354269987585
2032,"NWPPc","Coal",0.0945143171482221
2033,"NWPPc","Coal",0.0913932072976857
2034,"NWPPc","Coal",0.0882720974471493
2035,"NWPPc","Coal",0.0851509875966129
2036,"NWPPc","Coal",0.0823910013767332
2037,"NWPPc","Coal",0.0796310151568535
2038,"NWPPc","Coal",0.0768710289369737
2039,"NWPPc","Coal",0.074111042717094
2040,"NWPPc","Coal",0.0713510564972143
2041,"NWPPc","Coal",0.0692720949243719
2042,"NWPPc","Coal",0.0671931333515294
