"","year","region","pollutant","factor","se","r2","int","warn"
"1",2018,"AL","so2",1.14515954296143,0.0654216375793547,0.0338025991591817,-2.79148337024394,0
"2",2018,"AL","nox",0.592330761666611,0.0121141320876889,0.214444882598666,-0.484137585672991,0
"3",2018,"AL","pm25",3.68320124201426,0.0141034154947798,0.886201827743948,0.270678131754202,0
"4",2018,"AL","co2",21.2765385128178,0.0649450109962141,0.924555502519369,0.181422396576472,0
"5",2018,"AR","so2",22.866492863617,0.171181757801338,0.670772535963765,6.66879132157791,0
"6",2018,"AR","nox",1.71492208163271,0.0185036587374884,0.495146662091317,0.056802614564847,0
"7",2018,"AR","pm25",4.41698759071129,0.0129091192129055,0.930399065462795,0.547180728589748,0
"8",2018,"AR","co2",28.5209943457353,0.080299964224319,0.935083274060103,4.19804973572827,0
"9",2018,"AZ","so2",1.51385356499174,0.0379734157326164,0.153596379677645,0.0940324283151687,0
"10",2018,"AZ","nox",0.469827143623556,0.00422040920043323,0.585924512086429,-0.00352173288002297,0
"11",2018,"AZ","pm25",1.48226292901401,0.00141176289321313,0.992117912300975,-0.00468868473421186,0
"12",2018,"AZ","co2",22.7067648362355,0.0544342803110754,0.952080418101804,-0.269707674366432,0
"13",2018,"CA","so2",0.0541739513265379,0.000119032461981719,0.959433313030376,0.00280456002162428,0
"14",2018,"CA","nox",0.391046115576089,0.00984989716872998,0.152517107023428,-0.0480826088297549,0
"15",2018,"CA","pm25",3.59453635391364,0.00834933301150804,0.954879756674485,0.13556856917487,0
"16",2018,"CA","co2",16.7091984108463,0.0287422151639752,0.97474058828701,-0.194501067974552,0
"17",2018,"CO","so2",1.67528452530633,0.055928747645943,0.0929274554338982,0.38566611545469,0
"18",2018,"CO","nox",0.512995413319437,0.00687471324241766,0.388674123217127,0.0781949806068609,0
"19",2018,"CO","pm25",1.85177439716411,0.00569967035937346,0.923385443435273,0.064813869514379,0
"20",2018,"CO","co2",25.0803697027299,0.0640566559756043,0.945957289022094,0.156814885654688,0
"21",2018,"CT","so2",1.0746789683092,0.061124589093385,0.034103582202676,-4.44876638205169,0
"22",2018,"CT","nox",1.18612386172004,0.0675272067184812,0.0340412080785456,-1.39118165758755,0
"23",2018,"CT","pm25",6.1634684970896,0.0346649009814482,0.783122139873599,-0.849175837462186,0
"24",2018,"CT","co2",15.9829250457452,0.0493748120233883,0.922891020458124,-1.72920105166618,0
"25",2018,"DE","so2",0.844800233128134,0.357836771362152,0.000999472101239549,-1.40055921318165,0
"26",2018,"DE","nox",2.4175405959663,0.0777655510827692,0.147831029480073,23.4591076861796,0
"27",2018,"DE","pm25",5.60088762390908,0.0263300829131399,0.890377866718045,-2.06434058202002,0
"28",2018,"DE","co2",24.0415439724737,0.0655263793140097,0.9602598447265,-18.2091834783878,0
"29",2018,"FL","so2",2.82727570133768,0.0448150317823957,0.312453818958709,-1.15936434935254,0
"30",2018,"FL","nox",0.6492103496352,0.00564999754374047,0.601203085042189,-0.384539687930475,0
"31",2018,"FL","pm25",3.16486389154421,0.00522866717946662,0.976653731455658,0.313262271889289,0
"32",2018,"FL","co2",18.9164492928581,0.0261619531138515,0.983524029682945,-3.15270662775984,0
"33",2018,"GA","so2",1.85988033954679,0.076684482692688,0.0629387428867821,-1.9172406433588,0
"34",2018,"GA","nox",0.84986788350496,0.0114762395521404,0.385061647270825,-0.364862324193813,0
"35",2018,"GA","pm25",4.29836128792459,0.0158805904101839,0.893219797970288,-1.06525306195536,0
"36",2018,"GA","co2",26.6663520630344,0.0660116505027118,0.949065160944888,-2.07092450851091,0
"37",2018,"IA","so2",15.6307905641201,0.169497579391102,0.492649495865003,-1.80248753609159,0
"38",2018,"IA","nox",5.05705445151936,0.0376802539690158,0.672845612768382,-0.655341119380038,0
"39",2018,"IA","pm25",5.66904958916626,0.022883142859665,0.875122392535746,-0.384250762886667,0
"40",2018,"IA","co2",30.1623726896437,0.0776834676199795,0.945095631647621,-0.907968639279546,0
"41",2018,"ID","so2",0.0342200069761109,0.000107127096827006,0.934841901517033,-0.00282620411779811,0
"42",2018,"ID","nox",0.325542055115484,0.00880848868288117,0.161110675945715,-0.15648966581748,0
"43",2018,"ID","pm25",1.26059248833928,0.0024321191485994,0.974209233258603,-0.00554046494642244,0
"44",2018,"ID","co2",17.6412820244903,0.0546950547999519,0.936010556597793,-1.43728977169227,0
"45",2018,"IL","so2",10.486732904231,0.155373034017109,0.34216788814409,-5.63597990741216,0
"46",2018,"IL","nox",3.43382416222183,0.0390168567447727,0.469325886156674,-1.30008807927626,0
"47",2018,"IL","pm25",6.37129320007569,0.0190049162983978,0.927707576493401,-0.682383398396697,0
"48",2018,"IL","co2",27.0439112608977,0.054823590336616,0.965258812516912,-2.85702278635199,0
"49",2018,"IN","so2",25.9061607681847,0.219922239842932,0.613061921704477,-9.85192132754852,0
"50",2018,"IN","nox",5.15835733802969,0.0535421122047578,0.514517693447643,-0.845857190700642,0
"51",2018,"IN","pm25",19.583773388819,0.125476491470609,0.735547513167232,-3.73714625002317,0
"52",2018,"IN","co2",30.6592232115332,0.0542340043622495,0.973326229108741,-3.6093032894045,0
"53",2018,"KS","so2",3.20151215955561,0.0550581471496699,0.278533925630696,-0.825260986018724,0
"54",2018,"KS","nox",3.0378744427975,0.0236331976150224,0.653576835525146,-0.145159474672322,0
"55",2018,"KS","pm25",4.98286352394743,0.0144646959268224,0.93127076020692,-0.379502851476349,0
"56",2018,"KS","co2",32.0265680238549,0.0650439013758194,0.965135333333657,-2.12454534320589,0
