"","year","region","pollutant","factor","se","r2","int","warn"
"1",2018,"AZNM","co2",21.6971918726788,0.051838337586044,0.952388260741421,3.98095798674744,0
"2",2018,"CAMX","co2",17.8491276622753,0.0324223072846399,0.971914205477259,-0.120941938376027,0
"3",2018,"ERCT","co2",22.2040717709857,0.044509703590359,0.966003984544091,-9.69073182405652,0
"4",2018,"FRCC","co2",18.782003759663,0.0259241236719068,0.983588707063401,-2.26170995516783,0
"5",2018,"MROE","co2",31.8018415339863,0.0605760477996181,0.969202408298143,-0.639575905654566,0
"6",2018,"MROW","co2",31.6278066632766,0.0559366710714658,0.97333614880963,-1.27760341421078,0
"7",2018,"NEWE","co2",17.3709269762351,0.0385509748103559,0.958648699972238,-6.54622848809279,0
"8",2018,"NWPP","co2",27.6577348071521,0.0701291022432956,0.946693789341452,1.17977501191523,0
"9",2018,"NYCW","co2",17.1045659049477,0.0436084418287519,0.946138706896593,-0.585428960397271,0
"10",2018,"NYLI","co2",22.0212516779959,0.0484248298478004,0.95937031788833,-0.866135307661343,0
"11",2018,"NYUP","co2",17.1869028123229,0.0437570703666464,0.946281190339433,-2.82007122497229,0
"12",2018,"RFCE","co2",21.0220988492973,0.0461472564477641,0.959505858448426,-12.7114805154928,0
"13",2018,"RFCM","co2",26.2915767945918,0.0537479205896309,0.964691171178398,0.512747930772738,0
"14",2018,"RFCW","co2",27.5656124851434,0.0384593184969588,0.983237786173047,-14.3452106708717,0
"15",2018,"RMPA","co2",26.3592001033515,0.0668013671684701,0.946746878388734,-0.667301253043109,0
"16",2018,"SPNO","co2",28.9588016964972,0.0718660300772239,0.94882283716668,-3.15588376486043,0
"17",2018,"SPSO","co2",25.4621976289673,0.0452827776762922,0.97304663790195,-2.11828596102855,0
"18",2018,"SRMV","co2",22.5219112354525,0.0663509559369452,0.929356657648147,2.18923680338271,0
"19",2018,"SRMW","co2",30.0585441871529,0.0596469595299858,0.966663426107239,-1.25301189204616,0
"20",2018,"SRSO","co2",24.4237083694931,0.0606135249894224,0.948819512376105,-3.17306478651902,0
"21",2018,"SRTV","co2",25.0846977249076,0.0538526056297724,0.961201487672929,-4.97494630553093,0
"22",2018,"SRVC","co2",25.4120242993681,0.0363559003121909,0.982389968058131,-12.4305632925551,0
