"","year","region","pollutant","factor","se","r2","int","warn"
"1",2018,"AZNM","so2",1.2191653665854,0.0450887816435993,0.0770481699473764,0.278746821204794,0
"2",2018,"AZNM","nox",0.398225982337797,0.00428861434679063,0.496097344560819,-0.0104935110919749,0
"3",2018,"AZNM","pm25",1.40309251548081,0.00148658087122449,0.990264447735156,0.0954867698362758,0
"4",2018,"AZNM","co2",21.6971918726788,0.051838337586044,0.952388260741421,3.98095798674744,0
"5",2018,"CAMX","so2",0.414555390402053,0.00667591507157976,0.305695265620276,0.165774068981283,0
"6",2018,"CAMX","nox",0.494252857053147,0.00917699754276246,0.248798884731037,-0.0254500724667758,0
"7",2018,"CAMX","pm25",3.42279237895544,0.00812603860477843,0.952959076258761,0.0208899468065289,0
"8",2018,"CAMX","co2",17.8491276622753,0.0324223072846399,0.971914205477259,-0.120941938376027,0
"9",2018,"ERCT","so2",8.77219509736471,0.0960669385955382,0.487720320278863,-9.4585145997426,0
"10",2018,"ERCT","nox",0.771309192535247,0.00586957890844413,0.663490912952818,-0.488333655006587,0
"11",2018,"ERCT","pm25",3.38496993345798,0.00943329594382786,0.936314031110977,-1.76150741201951,0
"12",2018,"ERCT","co2",22.2040717709857,0.044509703590359,0.966003984544091,-9.69073182405652,0
"13",2018,"FRCC","so2",2.83071021284357,0.0458963130515079,0.302815454456545,-1.37548543371164,0
"14",2018,"FRCC","nox",0.655355778655971,0.00576610096255696,0.59595561521714,-0.324990813105016,0
"15",2018,"FRCC","pm25",3.16369657986775,0.00539746619097319,0.975142176896918,0.348715873750862,0
"16",2018,"FRCC","co2",18.782003759663,0.0259241236719068,0.983588707063401,-2.26170995516783,0
"17",2018,"MROE","so2",9.17372693433428,0.118664105888608,0.405615981415816,-2.31451736066793,0
"18",2018,"MROE","nox",4.30471163034292,0.0287406191502448,0.719217842881157,-0.787636190079189,0
"19",2018,"MROE","pm25",8.79944025718955,0.0244529830752098,0.936651467431369,-0.237186081897248,0
"20",2018,"MROE","co2",31.8018415339863,0.0605760477996181,0.969202408298143,-0.639575905654566,0
"21",2018,"MROW","so2",15.9322323185034,0.168532951551207,0.505053234719028,-5.40172267747856,0
"22",2018,"MROW","nox",5.05995747724049,0.0254972859510335,0.818075050317913,-0.604168350399484,0
"23",2018,"MROW","pm25",5.92896018701793,0.0160639205845061,0.939592545932952,0.0339698537231854,0
"24",2018,"MROW","co2",31.6278066632766,0.0559366710714658,0.97333614880963,-1.27760341421078,0
"25",2018,"NEWE","so2",2.19397417847357,0.101592824264008,0.0505591682211243,-24.584394467106,0
"26",2018,"NEWE","nox",1.02009349754293,0.0487646225186598,0.0475872371153152,-5.83216629779166,0
"27",2018,"NEWE","pm25",4.96604620465547,0.0145831513913204,0.929779162253107,-0.656204819395671,0
"28",2018,"NEWE","co2",17.3709269762351,0.0385509748103559,0.958648699972238,-6.54622848809279,0
"29",2018,"NWPP","so2",4.18026308653567,0.0991582587162251,0.168695868012331,0.742219746125618,0
"30",2018,"NWPP","nox",1.03233878461194,0.0163454768249348,0.312929081438061,0.189139888984571,0
"31",2018,"NWPP","pm25",1.90416019947928,0.00795419971269006,0.867435259108101,0.0154740719481067,0
"32",2018,"NWPP","co2",27.6577348071521,0.0701291022432956,0.946693789341452,1.17977501191523,0
"33",2018,"NYCW","so2",0.895512135171948,0.0512141492938008,0.0337330198934061,-0.0628563396097374,0
"34",2018,"NYCW","nox",3.01236065000898,0.0974680236238388,0.098339442777824,-0.471343603400358,0
"35",2018,"NYCW","pm25",9.14956979782807,0.019285753419227,0.962545991807862,-0.112528425446588,0
"36",2018,"NYCW","co2",17.1045659049477,0.0436084418287519,0.946138706896593,-0.585428960397271,0
"37",2018,"NYLI","so2",1.83120652658338,0.123071667324375,0.0246553765631536,-10.1413361443002,0
"38",2018,"NYLI","nox",10.6396978118482,0.200118973089521,0.244003858262083,-0.856971127309524,0
"39",2018,"NYLI","pm25",7.65849058300536,0.00651005602014405,0.993711481616724,0.0403021262635901,0
"40",2018,"NYLI","co2",22.0212516779959,0.0484248298478004,0.95937031788833,-0.866135307661343,0
"41",2018,"NYUP","so2",4.60657029913122,0.164127685033878,0.0825242126259463,-16.0537065859549,0
"42",2018,"NYUP","nox",1.33909705541614,0.0458920528738545,0.0886036259743038,-3.47862682930901,0
"43",2018,"NYUP","pm25",5.07621473294204,0.0157764155200113,0.922003649391736,-1.14797059581337,0
"44",2018,"NYUP","co2",17.1869028123229,0.0437570703666464,0.946281190339433,-2.82007122497229,0
"45",2018,"RFCE","so2",9.00061791397987,0.148073097821008,0.296705024513332,-23.9511455384443,0
"46",2018,"RFCE","nox",1.84981863268556,0.0388569123040539,0.205574769780887,-3.30489886757019,0
"47",2018,"RFCE","pm25",6.4781239081159,0.0184554887850473,0.933635632217504,-3.61249792795587,0
"48",2018,"RFCE","co2",21.0220988492973,0.0461472564477641,0.959505858448426,-12.7114805154928,0
"49",2018,"RFCM","so2",17.0780495933388,0.235285916644792,0.375609204756567,0.520287012771439,0
"50",2018,"RFCM","nox",5.0431367447695,0.0570985207287737,0.471104186129901,0.528895223753745,0
"51",2018,"RFCM","pm25",6.38845117577367,0.0237732638032605,0.891837408284106,-0.166357881195077,0
"52",2018,"RFCM","co2",26.2915767945918,0.0537479205896309,0.964691171178398,0.512747930772738,0
"53",2018,"RFCW","so2",19.1162276807012,0.280790076608866,0.346071691539649,-24.8089611707534,0
"54",2018,"RFCW","nox",3.77925247510269,0.0280983454150611,0.673799153571968,-4.57609376806677,0
