State,City,Material,Installation,Average
Mississippi,Greenville,4.56,1.21,3.43
Mississippi,Jackson,4.39,0.15,2.98
Mississippi,Meridian,4.18,0.15,2.79
Missouri,Cape Girardeau,4.08,1.96,3.25
Missouri,Columbia,4.57,1.97,3.51
Missouri,Joplin,4.17,0.0,2.59
Missouri,Kansas City,4.38,0.39,2.59
Missouri,Springﬁeld,4.71,0.12,2.98
Missouri,St. Joseph,4.34,0.11,2.52
Missouri,St. Louis,4.02,0.0,2.25
Montana,Billings,5.46,7.2,6.13
Montana,Butte,5.46,3.02,4.55
Montana,Great Falls,5.48,6.22,5.66
Montana,Helena,5.49,3.02,4.57
Montana,Missoula,5.21,4.36,4.86
Nebraska,Grand Island,5.15,0.13,3.25
Nebraska,Lincoln,5.46,0.0,3.44
Nebraska,North Platte,4.55,0.13,2.94
Nebraska,Omaha,5.57,0.12,3.44
Nevada,Carson City,5.78,0.0,3.53
Nevada,Las Vegas,6.04,3.46,4.94
Nevada,Reno,5.81,0.36,3.72
New Hampshire,Manchester,4.89,0.97,3.27
New Hampshire,Nashua,4.8,1.08,3.17
New Hampshire,Portsmouth,4.72,1.19,3.23
New Jersey,Camden,5.03,0.31,2.59
New Jersey,Elizabeth,3.6,0.36,1.99
New Jersey,Jersey City,3.74,0.43,2.0
New Jersey,Newark,3.82,0.43,2.05
New Jersey,Paterson,3.68,0.43,2.08
New Jersey,Trenton,4.94,0.15,2.57
New Mexico,Albuquerque,5.97,0.27,3.88
New Mexico,Farmington,5.73,0.27,3.75
New Mexico,Las Cruces,5.33,0.28,3.51
New Mexico,Roswell,5.23,0.27,3.48
New Mexico,Santa Fe,5.84,0.27,3.87
New York,Albany,5.37,0.18,2.94
New York,Binghamton,4.21,0.1,2.41
New York,Buffalo,2.62,1.55,2.17
New York,Hicksville,4.21,0.44,2.23
New York,New York,3.94,0.96,2.27
New York,Riverhead,4.28,0.45,2.25
New York,Rochester,5.18,0.1,2.98
New York,Schenectady,5.13,0.18,2.94
New York,Syracuse,4.19,0.1,2.42
New York,Utica,4.38,0.2,2.47
New York,Watertown,4.2,0.1,2.54
New York,White Plains,3.86,0.2,1.85
New York,Yonkers,4.01,0.2,1.83
North Carolina,Asheville,4.78,1.04,3.34
North Carolina,Charlotte,4.74,1.78,3.68
North Carolina,Durham,6.14,0.89,4.43
North Carolina,Fayetteville,5.0,0.3,3.37
North Carolina,Greensboro,6.04,0.89,4.36
North Carolina,Raleigh,6.02,1.04,4.3
North Carolina,Wilmington,4.69,0.3,3.25
North Carolina,Winston-Salem,6.06,0.88,4.25
North Dakota,Bismarck,5.3,4.25,4.87
North Dakota,Fargo,4.58,2.12,3.65
North Dakota,Grand Forks,4.98,0.76,3.33
North Dakota,Minot,4.98,1.26,3.54
Ohio,Akron,4.72,0.0,2.85
Ohio,Canton,4.75,0.74,3.28
Ohio,Cincinnati,3.92,1.24,2.89
Ohio,Cleveland,4.76,1.19,3.34
Ohio,Columbus,4.52,0.0,2.85
Ohio,Dayton,3.96,0.0,2.46
Ohio,Lorain,4.78,0.12,3.0
Ohio,Springﬁeld,3.86,0.0,2.45
Ohio,Toledo,4.65,0.86,3.16
Ohio,Youngstown,4.86,0.0,3.03
Oklahoma,Enid,5.03,0.15,3.37
Oklahoma,Lawton,5.11,0.3,3.48
Oklahoma,Muskogee,4.73,0.16,3.17
Oklahoma,Oklahoma City,4.83,0.29,3.23
Oklahoma,Tulsa,4.69,0.15,3.11
Oregon,Eugene,4.81,0.1,2.72
Oregon,Medford,4.84,0.0,2.81
Oregon,Portland,4.69,0.1,2.69
Oregon,Salem,5.01,0.1,2.97
Pennsylvania,Allentown,4.24,0.09,2.36
Pennsylvania,Altoona,4.29,0.11,2.45
Pennsylvania,Erie,4.3,0.1,2.43
Pennsylvania,Harrisburg,3.99,0.11,2.38
Pennsylvania,Philadelphia,3.8,0.52,2.17
Pennsylvania,Pittsburgh,6.11,1.27,4.06
Pennsylvania,Reading,3.83,0.1,2.21
Pennsylvania,Scranton,4.31,0.1,2.45
Pennsylvania,York,3.9,0.1,2.21
Rhode Island,Providence,5.82,0.18,3.18
South Carolina,Charleston,5.41,4.29,5.06
South Carolina,Columbia,5.39,3.98,4.99
South Carolina,Florence,5.61,3.98,5.0
South Carolina,Greenville,5.61,3.24,4.76
South Carolina,Spartanburg,5.6,3.39,4.87
South Dakota,Aberdeen,5.09,0.14,3.34
South Dakota,Pierre,5.17,0.86,3.6
South Dakota,Rapid City,5.2,0.82,3.66
South Dakota,Sioux Falls,5.5,1.14,3.82
Tennessee,Chattanooga,3.94,0.29,2.67
Tennessee,Jackson,4.62,0.17,3.2
Tennessee,Johnson City,3.83,0.33,2.67
Tennessee,Knoxville,3.97,0.15,2.66
Tennessee,Memphis,3.8,0.0,2.44
Tennessee,Nashville,4.17,2.53,3.58
Texas,Abilene,5.42,0.16,3.67
Texas,Amarillo,5.85,0.16,3.96
Texas,Austin,4.93,0.0,3.27
Texas,Beaumont,4.35,0.0,2.93
Texas,Corpus Christi,4.31,0.16,2.86
Texas,Dallas,4.24,0.15,2.8
Texas,El Paso,4.86,0.0,3.18
Texas,Fort Worth,5.24,0.0,3.49
Texas,Houston,4.47,0.0,3.0
Texas,Laredo,4.33,0.16,2.91
Texas,Lubbock,5.23,0.16,3.6
Texas,Odessa,5.31,0.16,3.54
Texas,San Antonio,3.93,0.0,2.74
Texas,Waco,5.41,0.16,3.57
Texas,Wichita Falls,5.37,0.8,3.82
Utah,Logan,5.33,1.37,3.97
Utah,Ogden,5.33,1.37,4.02
Utah,Provo,5.31,1.51,3.96
Utah,Salt Lake City,5.29,1.92,4.13
Vermont,Burlington,5.25,0.62,3.51
Vermont,Rutland,5.3,0.75,3.58
Virginia,Alexandria,4.83,3.21,4.2
Virginia,Arlington,4.8,2.37,3.86
Virginia,Newport News,5.31,0.29,3.61
Virginia,Norfolk,5.36,0.29,3.58
Virginia,Portsmouth,5.34,9.83,6.77
Virginia,Roanoke,4.81,5.03,4.79
Washington,Everett,4.64,0.1,2.62
Washington,Richland,4.02,0.11,2.49
Washington,Seattle,4.34,4.47,4.41
Washington,Spokane,4.0,0.0,2.47
Washington,Tacoma,4.62,0.0,2.62
Washington,Vancouver,4.58,0.0,2.67
Washington,Yakima,4.62,0.1,2.78
West Virginia,Huntington,5.95,0.21,3.54
West Virginia,Parkersburg,4.89,0.11,2.95
West Virginia,Wheeling,4.73,0.33,2.92
Wisconsin,Eau Claire,5.27,0.1,3.0
Wisconsin,Green Bay,5.17,0.1,2.97
Wisconsin,Kenosha,5.03,0.1,2.85
Wisconsin,La Crosse,5.25,0.1,3.04
Wisconsin,Madison,5.75,0.1,3.31
Wisconsin,Milwaukee,4.02,4.15,4.11
Wisconsin,Racine,4.96,0.0,2.76
Wyoming,Casper,6.04,0.0,4.05
Wyoming,Cheyenne,6.02,0.14,3.87
Wyoming,Rock Springs,5.79,0.84,4.16
