eGRID_subregion,Fuel,Pollutant,Emission_rate,Unit
FRCC,Renewables,NOx,0,lb/MWh
HIMS,Renewables,NOx,0,lb/MWh
HIOA,Renewables,NOx,0,lb/MWh
MROE,Renewables,NOx,0,lb/MWh
MROW,Renewables,NOx,0,lb/MWh
NEWE,Renewables,NOx,0,lb/MWh
NWPP,Renewables,NOx,0,lb/MWh
NYCW,Renewables,NOx,0,lb/MWh
NYLI,Renewables,NOx,0,lb/MWh
NYUP,Renewables,NOx,0,lb/MWh
PRMS,Renewables,NOx,0,lb/MWh
RFCE,Renewables,NOx,0,lb/MWh
RFCM,Renewables,NOx,0,lb/MWh
RFCW,Renewables,NOx,0,lb/MWh
RMPA,Renewables,NOx,0,lb/MWh
SPNO,Renewables,NOx,0,lb/MWh
SPSO,Renewables,NOx,0,lb/MWh
SRMV,Renewables,NOx,0,lb/MWh
SRMW,Renewables,NOx,0,lb/MWh
SRSO,Renewables,NOx,0,lb/MWh
SRTV,Renewables,NOx,0,lb/MWh
SRVC,Renewables,NOx,0,lb/MWh
AKGD,Renewables,SO2,0,lb/MWh
AKMS,Renewables,SO2,0,lb/MWh
AZNM,Renewables,SO2,0,lb/MWh
CAMX,Renewables,SO2,0,lb/MWh
ERCT,Renewables,SO2,0,lb/MWh
FRCC,Renewables,SO2,0,lb/MWh
HIMS,Renewables,SO2,0,lb/MWh
HIOA,Renewables,SO2,0,lb/MWh
MROE,Renewables,SO2,0,lb/MWh
MROW,Renewables,SO2,0,lb/MWh
NEWE,Renewables,SO2,0,lb/MWh
NWPP,Renewables,SO2,0,lb/MWh
NYCW,Renewables,SO2,0,lb/MWh
NYLI,Renewables,SO2,0,lb/MWh
NYUP,Renewables,SO2,0,lb/MWh
PRMS,Renewables,SO2,0,lb/MWh
RFCE,Renewables,SO2,0,lb/MWh
RFCM,Renewables,SO2,0,lb/MWh
RFCW,Renewables,SO2,0,lb/MWh
RMPA,Renewables,SO2,0,lb/MWh
SPNO,Renewables,SO2,0,lb/MWh
SPSO,Renewables,SO2,0,lb/MWh
SRMV,Renewables,SO2,0,lb/MWh
SRMW,Renewables,SO2,0,lb/MWh
SRSO,Renewables,SO2,0,lb/MWh
SRTV,Renewables,SO2,0,lb/MWh
SRVC,Renewables,SO2,0,lb/MWh
AKGD,Renewables,PM25,0,lb/MWh
AKMS,Renewables,PM25,0,lb/MWh
AZNM,Renewables,PM25,0,lb/MWh
CAMX,Renewables,PM25,0,lb/MWh
ERCT,Renewables,PM25,0,lb/MWh
FRCC,Renewables,PM25,0,lb/MWh
HIMS,Renewables,PM25,0,lb/MWh
HIOA,Renewables,PM25,0,lb/MWh
MROE,Renewables,PM25,0,lb/MWh
MROW,Renewables,PM25,0,lb/MWh
NEWE,Renewables,PM25,0,lb/MWh
NWPP,Renewables,PM25,0,lb/MWh
NYCW,Renewables,PM25,0,lb/MWh
NYLI,Renewables,PM25,0,lb/MWh
NYUP,Renewables,PM25,0,lb/MWh
PRMS,Renewables,PM25,0,lb/MWh
RFCE,Renewables,PM25,0,lb/MWh
RFCM,Renewables,PM25,0,lb/MWh
RFCW,Renewables,PM25,0,lb/MWh
RMPA,Renewables,PM25,0,lb/MWh
SPNO,Renewables,PM25,0,lb/MWh
SPSO,Renewables,PM25,0,lb/MWh
SRMV,Renewables,PM25,0,lb/MWh
SRMW,Renewables,PM25,0,lb/MWh
SRSO,Renewables,PM25,0,lb/MWh
SRTV,Renewables,PM25,0,lb/MWh
SRVC,Renewables,PM25,0,lb/MWh
AKGD,Renewables,NH3,0,lb/MWh
AKMS,Renewables,NH3,0,lb/MWh
AZNM,Renewables,NH3,0,lb/MWh
CAMX,Renewables,NH3,0,lb/MWh
ERCT,Renewables,NH3,0,lb/MWh
FRCC,Renewables,NH3,0,lb/MWh
HIMS,Renewables,NH3,0,lb/MWh
HIOA,Renewables,NH3,0,lb/MWh
MROE,Renewables,NH3,0,lb/MWh
MROW,Renewables,NH3,0,lb/MWh
NEWE,Renewables,NH3,0,lb/MWh
NWPP,Renewables,NH3,0,lb/MWh
NYCW,Renewables,NH3,0,lb/MWh
NYLI,Renewables,NH3,0,lb/MWh
NYUP,Renewables,NH3,0,lb/MWh
PRMS,Renewables,NH3,0,lb/MWh
RFCE,Renewables,NH3,0,lb/MWh
RFCM,Renewables,NH3,0,lb/MWh
RFCW,Renewables,NH3,0,lb/MWh
RMPA,Renewables,NH3,0,lb/MWh
SPNO,Renewables,NH3,0,lb/MWh
SPSO,Renewables,NH3,0,lb/MWh
SRMV,Renewables,NH3,0,lb/MWh
SRMW,Renewables,NH3,0,lb/MWh
SRSO,Renewables,NH3,0,lb/MWh
SRTV,Renewables,NH3,0,lb/MWh
SRVC,Renewables,NH3,0,lb/MWh
AKGD,Renewables,VOC,0,lb/MWh
AKMS,Renewables,VOC,0,lb/MWh
AZNM,Renewables,VOC,0,lb/MWh
CAMX,Renewables,VOC,0,lb/MWh
ERCT,Renewables,VOC,0,lb/MWh
FRCC,Renewables,VOC,0,lb/MWh
HIMS,Renewables,VOC,0,lb/MWh
HIOA,Renewables,VOC,0,lb/MWh
MROE,Renewables,VOC,0,lb/MWh
MROW,Renewables,VOC,0,lb/MWh
NEWE,Renewables,VOC,0,lb/MWh
NWPP,Renewables,VOC,0,lb/MWh
NYCW,Renewables,VOC,0,lb/MWh
NYLI,Renewables,VOC,0,lb/MWh
NYUP,Renewables,VOC,0,lb/MWh
PRMS,Renewables,VOC,0,lb/MWh
RFCE,Renewables,VOC,0,lb/MWh
RFCM,Renewables,VOC,0,lb/MWh
RFCW,Renewables,VOC,0,lb/MWh
RMPA,Renewables,VOC,0,lb/MWh
SPNO,Renewables,VOC,0,lb/MWh
SPSO,Renewables,VOC,0,lb/MWh
SRMV,Renewables,VOC,0,lb/MWh
SRMW,Renewables,VOC,0,lb/MWh
SRSO,Renewables,VOC,0,lb/MWh
SRTV,Renewables,VOC,0,lb/MWh
SRVC,Renewables,VOC,0,lb/MWh
