GISJOIN,YEAR,STUSAB,STATE,STATEA,PUMAA,GEOID,NAME_E,AJZAE001,NAME_M,AJZAM001
GIS Join Match Code,Data File Year,State Postal Abbreviation,State Name,State Code,Public Use Microdata Area Code,Census Geographic Identifier,Estimates: Area Name,Estimates: Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margins of error: Area Name,Margins of error: Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
G12003102,2014-2018,FL,Florida,12,3102,79500US1203102,"Duval County (Northwest Central)--Jacksonville City (Northwest) PUMA, Florida",30493,"Duval County (Northwest Central)--Jacksonville City (Northwest) PUMA, Florida",853
G12003103,2014-2018,FL,Florida,12,3103,79500US1203103,"Duval County (North Central)--Jacksonville City (Arlington) PUMA, Florida",46067,"Duval County (North Central)--Jacksonville City (Arlington) PUMA, Florida",2035
G12003104,2014-2018,FL,Florida,12,3104,79500US1203104,"Duval County (East)--Jacksonville City (Beaches) PUMA, Florida",71506,"Duval County (East)--Jacksonville City (Beaches) PUMA, Florida",2226
G12003105,2014-2018,FL,Florida,12,3105,79500US1203105,"Duval County (Southeast)--Jacksonville City (Southeast) PUMA, Florida",64026,"Duval County (Southeast)--Jacksonville City (Southeast) PUMA, Florida",1694
G12003106,2014-2018,FL,Florida,12,3106,79500US1203106,"Duval County (South Central)--Jacksonville City (Southeast River) PUMA, Florida",61986,"Duval County (South Central)--Jacksonville City (Southeast River) PUMA, Florida",2351
G12003107,2014-2018,FL,Florida,12,3107,79500US1203107,"Duval County (Southwest Central)--Jacksonville City (Southwest) PUMA, Florida",47450,"Duval County (Southwest Central)--Jacksonville City (Southwest) PUMA, Florida",1761
G12003301,2014-2018,FL,Florida,12,3301,79500US1203301,"Escambia County (North) PUMA, Florida",55945,"Escambia County (North) PUMA, Florida",1780
G12003302,2014-2018,FL,Florida,12,3302,79500US1203302,"Escambia County (South) PUMA, Florida",45458,"Escambia County (South) PUMA, Florida",1208
G12003500,2014-2018,FL,Florida,12,3500,79500US1203500,"Flagler & Volusia (North Central) Counties PUMA, Florida",54761,"Flagler & Volusia (North Central) Counties PUMA, Florida",1473
G12005301,2014-2018,FL,Florida,12,5301,79500US1205301,"Hernando County PUMA, Florida",46030,"Hernando County PUMA, Florida",925
G12005701,2014-2018,FL,Florida,12,5701,79500US1205701,"Hillsborough County (Central)--Tampa City (Central) PUMA, Florida",34771,"Hillsborough County (Central)--Tampa City (Central) PUMA, Florida",1009
G12005702,2014-2018,FL,Florida,12,5702,79500US1205702,"Hillsborough County (Southwest)--Tampa City (South) PUMA, Florida",61783,"Hillsborough County (Southwest)--Tampa City (South) PUMA, Florida",2222
G12005703,2014-2018,FL,Florida,12,5703,79500US1205703,"Hillsborough County (Northwest) PUMA, Florida",68269,"Hillsborough County (Northwest) PUMA, Florida",2267
G12005704,2014-2018,FL,Florida,12,5704,79500US1205704,"Hillsborough County (North Central) PUMA, Florida",58712,"Hillsborough County (North Central) PUMA, Florida",1879
G12005705,2014-2018,FL,Florida,12,5705,79500US1205705,"Hillsborough County (North Central)--Tampa City (North) PUMA, Florida",51758,"Hillsborough County (North Central)--Tampa City (North) PUMA, Florida",1496
G12005706,2014-2018,FL,Florida,12,5706,79500US1205706,"Hillsborough County (Northeast) PUMA, Florida",51520,"Hillsborough County (Northeast) PUMA, Florida",1467
G12005707,2014-2018,FL,Florida,12,5707,79500US1205707,"Hillsborough County (Central) PUMA, Florida",57717,"Hillsborough County (Central) PUMA, Florida",1336
G12005708,2014-2018,FL,Florida,12,5708,79500US1205708,"Hillsborough County (South County) PUMA, Florida",68539,"Hillsborough County (South County) PUMA, Florida",1711
G12006100,2014-2018,FL,Florida,12,6100,79500US1206100,"Indian River County PUMA, Florida",52336,"Indian River County PUMA, Florida",1202
G12006300,2014-2018,FL,Florida,12,6300,79500US1206300,"Apalachee Region (Outside Leon County) PUMA, Florida",43609,"Apalachee Region (Outside Leon County) PUMA, Florida",1358
G12006901,2014-2018,FL,Florida,12,6901,79500US1206901,"Lake County (North) PUMA, Florida",48972,"Lake County (North) PUMA, Florida",1820
G12006902,2014-2018,FL,Florida,12,6902,79500US1206902,"Sumter (North) & Lake (North) Counties PUMA, Florida",52295,"Sumter (North) & Lake (North) Counties PUMA, Florida",1389
G12006903,2014-2018,FL,Florida,12,6903,79500US1206903,"Lake (South) & Sumter (South) Counties PUMA, Florida",56152,"Lake (South) & Sumter (South) Counties PUMA, Florida",1512
G12007101,2014-2018,FL,Florida,12,7101,79500US1207101,"Lee County (South & West)--Barrier Islands Region PUMA, Florida",56789,"Lee County (South & West)--Barrier Islands Region PUMA, Florida",1910
G12007102,2014-2018,FL,Florida,12,7102,79500US1207102,"Lee County (Northwest)--Cape Coral City PUMA, Florida",55628,"Lee County (Northwest)--Cape Coral City PUMA, Florida",1467
G12007103,2014-2018,FL,Florida,12,7103,79500US1207103,"Lee County (Northeast)--Lehigh Acres & North Fort Myers PUMA, Florida",48266,"Lee County (Northeast)--Lehigh Acres & North Fort Myers PUMA, Florida",1419
G12007104,2014-2018,FL,Florida,12,7104,79500US1207104,"Lee County (Central)--Greater Fort Myers City PUMA, Florida",46325,"Lee County (Central)--Greater Fort Myers City PUMA, Florida",1451
G12007105,2014-2018,FL,Florida,12,7105,79500US1207105,"Lee County (Southeast)--Bonita Springs City & Estero (East) PUMA, Florida",69007,"Lee County (Southeast)--Bonita Springs City & Estero (East) PUMA, Florida",2771
G12007300,2014-2018,FL,Florida,12,7300,79500US1207300,"Leon County (Outer) PUMA, Florida",74179,"Leon County (Outer) PUMA, Florida",2399
G12007301,2014-2018,FL,Florida,12,7301,79500US1207301,"Leon County (Central)--Tallahassee City (Central) PUMA, Florida",36474,"Leon County (Central)--Tallahassee City (Central) PUMA, Florida",1162
G12008101,2014-2018,FL,Florida,12,8101,79500US1208101,"Manatee County (North) PUMA, Florida",63011,"Manatee County (North) PUMA, Florida",1681
G12008102,2014-2018,FL,Florida,12,8102,79500US1208102,"Manatee County (West Central) PUMA, Florida",45808,"Manatee County (West Central) PUMA, Florida",1479
G12008103,2014-2018,FL,Florida,12,8103,79500US1208103,"Manatee County (South) PUMA, Florida",61883,"Manatee County (South) PUMA, Florida",1844
G12008301,2014-2018,FL,Florida,12,8301,79500US1208301,"Marion County (North) PUMA, Florida",40215,"Marion County (North) PUMA, Florida",1402
G12008302,2014-2018,FL,Florida,12,8302,79500US1208302,"Marion County (Central)--Ocala City PUMA, Florida",42105,"Marion County (Central)--Ocala City PUMA, Florida",1294
G12008303,2014-2018,FL,Florida,12,8303,79500US1208303,"Marion County (South Central) PUMA, Florida",46617,"Marion County (South Central) PUMA, Florida",1426
G12008500,2014-2018,FL,Florida,12,8500,79500US1208500,"Martin County PUMA, Florida",57883,"Martin County PUMA, Florida",1908
G12008601,2014-2018,FL,Florida,12,8601,79500US1208601,"Miami-Dade County (North Central)--Greater Miami Lakes Town PUMA, Florida",57822,"Miami-Dade County (North Central)--Greater Miami Lakes Town PUMA, Florida",1779
G12008602,2014-2018,FL,Florida,12,8602,79500US1208602,"Miami-Dade County (North Central)--Miami Gardens City (North & West) PUMA, Florida",43892,"Miami-Dade County (North Central)--Miami Gardens City (North & West) PUMA, Florida",2018
G12008603,2014-2018,FL,Florida,12,8603,79500US1208603,"Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA, Florida",44076,"Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA, Florida",2180
G12008604,2014-2018,FL,Florida,12,8604,79500US1208604,"Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA, Florida",57972,"Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA, Florida",2729
G12008605,2014-2018,FL,Florida,12,8605,79500US1208605,"Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA, Florida",39113,"Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA, Florida",1656
G12008606,2014-2018,FL,Florida,12,8606,79500US1208606,"Miami-Dade County (Northeast)--Opa-Locka City, West Little River & Westview PUMA; Florida",30405,"Miami-Dade County (Northeast)--Opa-Locka City, West Little River & Westview PUMA; Florida",1558
G12008607,2014-2018,FL,Florida,12,8607,79500US1208607,"Miami-Dade County (Northeast)--Hialeah City (North Central) PUMA, Florida",36784,"Miami-Dade County (Northeast)--Hialeah City (North Central) PUMA, Florida",1275
G12008608,2014-2018,FL,Florida,12,8608,79500US1208608,"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA; Florida",58636,"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA; Florida",2353
G12008609,2014-2018,FL,Florida,12,8609,79500US1208609,"Miami-Dade County (Northeast)--Hialeah City (South Central) PUMA, Florida",31391,"Miami-Dade County (Northeast)--Hialeah City (South Central) PUMA, Florida",1574
G12008610,2014-2018,FL,Florida,12,8610,79500US1208610,"Miami-Dade County (Central)--Miami Springs City & Miami International Airport PUMA, Florida",36961,"Miami-Dade County (Central)--Miami Springs City & Miami International Airport PUMA, Florida",1347
G12008611,2014-2018,FL,Florida,12,8611,79500US1208611,"Miami-Dade County (Northeast Central)--Miami City (North) PUMA, Florida",31892,"Miami-Dade County (Northeast Central)--Miami City (North) PUMA, Florida",1258
G12008612,2014-2018,FL,Florida,12,8612,79500US1208612,"Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village PUMA, Florida",60850,"Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village PUMA, Florida",2508
G12008613,2014-2018,FL,Florida,12,8613,79500US1208613,"Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA, Florida",27491,"Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA, Florida",1233
G12008614,2014-2018,FL,Florida,12,8614,79500US1208614,"Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA, Florida",71710,"Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA, Florida",4595
G12008615,2014-2018,FL,Florida,12,8615,79500US1208615,"Miami-Dade County (East Central)--Miami City (West) PUMA, Florida",34633,"Miami-Dade County (East Central)--Miami City (West) PUMA, Florida",1698
G12008616,2014-2018,FL,Florida,12,8616,79500US1208616,"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA; Florida",98780,"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA; Florida",5118
G12008617,2014-2018,FL,Florida,12,8617,79500US1208617,"Miami-Dade County (East Central)--South Miami City, Westchester & Coral Terrace PUMA; Florida",55428,"Miami-Dade County (East Central)--South Miami City, Westchester & Coral Terrace PUMA; Florida",3012
G12008618,2014-2018,FL,Florida,12,8618,79500US1208618,"Miami-Dade County (North Central)--Tamiami Trail Region (South)--Tamiami PUMA, Florida",63191,"Miami-Dade County (North Central)--Tamiami Trail Region (South)--Tamiami PUMA, Florida",3107
G12008619,2014-2018,FL,Florida,12,8619,79500US1208619,"Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South) PUMA, Florida",58020,"Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South) PUMA, Florida",2396
G12008620,2014-2018,FL,Florida,12,8620,79500US1208620,"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA; Florida",63741,"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA; Florida",2499
G12008621,2014-2018,FL,Florida,12,8621,79500US1208621,"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA; Florida",76690,"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA; Florida",2790
G12008622,2014-2018,FL,Florida,12,8622,79500US1208622,"Miami-Dade County (Southwest)--South Miami Heights PUMA, Florida",49021,"Miami-Dade County (Southwest)--South Miami Heights PUMA, Florida",2379
G12008623,2014-2018,FL,Florida,12,8623,79500US1208623,"Miami-Dade County (Southeast)--Cutler Bay Town & Palmetto Bay Village PUMA, Florida",68097,"Miami-Dade County (Southeast)--Cutler Bay Town & Palmetto Bay Village PUMA, Florida",2290
G12008624,2014-2018,FL,Florida,12,8624,79500US1208624,"Miami-Dade County (South)--Homestead City (North) & Florida City (North) PUMA, Florida",41386,"Miami-Dade County (South)--Homestead City (North) & Florida City (North) PUMA, Florida",1928
G12008700,2014-2018,FL,Florida,12,8700,79500US1208700,"Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA, Florida",64237,"Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA, Florida",2249
G12008900,2014-2018,FL,Florida,12,8900,79500US1208900,"Nassau & Baker Counties PUMA, Florida",65344,"Nassau & Baker Counties PUMA, Florida",2197
G12009100,2014-2018,FL,Florida,12,9100,79500US1209100,"Okaloosa County PUMA, Florida",62048,"Okaloosa County PUMA, Florida",1837
G12009300,2014-2018,FL,Florida,12,9300,79500US1209300,"Southeast Heartland--Highlands (South & East), Okeechobee, Hendry & Glades Counties PUMA; Florida",40485,"Southeast Heartland--Highlands (South & East), Okeechobee, Hendry & Glades Counties PUMA; Florida",1356
G12009501,2014-2018,FL,Florida,12,9501,79500US1209501,"Orange County (Northwest) PUMA, Florida",54140,"Orange County (Northwest) PUMA, Florida",2010
G12009502,2014-2018,FL,Florida,12,9502,79500US1209502,"Orange County (West Central)--Winter Garden, Ocoee Cities & Oakland Town PUMA; Florida",62525,"Orange County (West Central)--Winter Garden, Ocoee Cities & Oakland Town PUMA; Florida",2490
G12009503,2014-2018,FL,Florida,12,9503,79500US1209503,"Orange County (Southwest)--Disney-International Drive Region PUMA, Florida",76954,"Orange County (Southwest)--Disney-International Drive Region PUMA, Florida",2700
G12009504,2014-2018,FL,Florida,12,9504,79500US1209504,"Orange County (South Central)--Orlando City (South Central), Conway & Pine Castle PUMA; Florida",41613,"Orange County (South Central)--Orlando City (South Central), Conway & Pine Castle PUMA; Florida",1271
G12009505,2014-2018,FL,Florida,12,9505,79500US1209505,"Orange County (Central)--Orlando City (East Downtown) & Azalea Park PUMA, Florida",48511,"Orange County (Central)--Orlando City (East Downtown) & Azalea Park PUMA, Florida",1149
G12009506,2014-2018,FL,Florida,12,9506,79500US1209506,"Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast) PUMA, Florida",38213,"Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast) PUMA, Florida",1412
G12009507,2014-2018,FL,Florida,12,9507,79500US1209507,"Orange County (North Central)--Orlando (North), Winter Park & Maitland Cities PUMA; Florida",56908,"Orange County (North Central)--Orlando (North), Winter Park & Maitland Cities PUMA; Florida",2579
G12009508,2014-2018,FL,Florida,12,9508,79500US1209508,"Orange County (North Central)--Orlando City (Univ. of Central Florida) & Union Park PUMA, Florida",47411,"Orange County (North Central)--Orlando City (Univ. of Central Florida) & Union Park PUMA, Florida",1865
G12009509,2014-2018,FL,Florida,12,9509,79500US1209509,"Orange County (Southeast) PUMA, Florida",62278,"Orange County (Southeast) PUMA, Florida",1768
G12009510,2014-2018,FL,Florida,12,9510,79500US1209510,"Orange County (Northeast) PUMA, Florida",67949,"Orange County (Northeast) PUMA, Florida",3629
G12009701,2014-2018,FL,Florida,12,9701,79500US1209701,"Osceola County (West) PUMA, Florida",46468,"Osceola County (West) PUMA, Florida",1531
G12009702,2014-2018,FL,Florida,12,9702,79500US1209702,"Osceola County (East) PUMA, Florida",54884,"Osceola County (East) PUMA, Florida",2202
G12009901,2014-2018,FL,Florida,12,9901,79500US1209901,"Palm Beach County (Northeast) PUMA, Florida",82778,"Palm Beach County (Northeast) PUMA, Florida",2775
G12009902,2014-2018,FL,Florida,12,9902,79500US1209902,"Palm Beach County (Northeast)--Palm Beach Gardens & Riviera Beach Cities PUMA, Florida",63456,"Palm Beach County (Northeast)--Palm Beach Gardens & Riviera Beach Cities PUMA, Florida",1705
G12009903,2014-2018,FL,Florida,12,9903,79500US1209903,"Palm Beach County (East)--West Palm Beach City (Southeast) & Palm Beach Town PUMA, Florida",46099,"Palm Beach County (East)--West Palm Beach City (Southeast) & Palm Beach Town PUMA, Florida",1394
G12009904,2014-2018,FL,Florida,12,9904,79500US1209904,"Palm Beach County (East)--Greenacres City (North) & Palm Springs Village (North) PUMA, Florida",43552,"Palm Beach County (East)--Greenacres City (North) & Palm Springs Village (North) PUMA, Florida",1550
G12009905,2014-2018,FL,Florida,12,9905,79500US1209905,"Palm Beach County (East Central)--Lake Worth City, Lantana Town & Atlantis City PUMA; Florida",51419,"Palm Beach County (East Central)--Lake Worth City, Lantana Town & Atlantis City PUMA; Florida",1724
G12009906,2014-2018,FL,Florida,12,9906,79500US1209906,"Palm Beach County (East Central)--Greater Boynton Beach City (North) PUMA, Florida",58852,"Palm Beach County (East Central)--Greater Boynton Beach City (North) PUMA, Florida",1691
G12009907,2014-2018,FL,Florida,12,9907,79500US1209907,"Palm Beach County (Southeast)--Greater Delray Beach City PUMA, Florida",52557,"Palm Beach County (Southeast)--Greater Delray Beach City PUMA, Florida",1410
G12009908,2014-2018,FL,Florida,12,9908,79500US1209908,"Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA, Florida",78419,"Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA, Florida",3637
G12009909,2014-2018,FL,Florida,12,9909,79500US1209909,"Palm Beach County (West of Boca Raton City) PUMA, Florida",66083,"Palm Beach County (West of Boca Raton City) PUMA, Florida",2381
G12009910,2014-2018,FL,Florida,12,9910,79500US1209910,"Palm Beach County (Central)--Wellington Village & Agricultural Reserve PUMA, Florida",96091,"Palm Beach County (Central)--Wellington Village & Agricultural Reserve PUMA, Florida",3427
G12009911,2014-2018,FL,Florida,12,9911,79500US1209911,"Palm Beach County (West)--Glades & Western Communities PUMA, Florida",59399,"Palm Beach County (West)--Glades & Western Communities PUMA, Florida",2050
G12010101,2014-2018,FL,Florida,12,10101,79500US1210101,"Pasco County (East Central) PUMA, Florida",52759,"Pasco County (East Central) PUMA, Florida",1428
G12010102,2014-2018,FL,Florida,12,10102,79500US1210102,"Pasco County (West Central) PUMA, Florida",46322,"Pasco County (West Central) PUMA, Florida",1060
G12010103,2014-2018,FL,Florida,12,10103,79500US1210103,"Pasco County (Gulf Coast) PUMA, Florida",38518,"Pasco County (Gulf Coast) PUMA, Florida",1150
G12010104,2014-2018,FL,Florida,12,10104,79500US1210104,"Pasco County (South) PUMA, Florida",76326,"Pasco County (South) PUMA, Florida",1804
G12010301,2014-2018,FL,Florida,12,10301,79500US1210301,"Pinellas County (North) PUMA, Florida",59637,"Pinellas County (North) PUMA, Florida",1934
G12010302,2014-2018,FL,Florida,12,10302,79500US1210302,"Pinellas County (North Central) PUMA, Florida",51585,"Pinellas County (North Central) PUMA, Florida",1548
G12010303,2014-2018,FL,Florida,12,10303,79500US1210303,"Pinellas County (Central)--Clearwater City (South & Central) PUMA, Florida",46896,"Pinellas County (Central)--Clearwater City (South & Central) PUMA, Florida",1623
G12010304,2014-2018,FL,Florida,12,10304,79500US1210304,"Pinellas County (Central)--Greater Largo City PUMA, Florida",44258,"Pinellas County (Central)--Greater Largo City PUMA, Florida",1705
G12010305,2014-2018,FL,Florida,12,10305,79500US1210305,"Pinellas County (West Central)--Greater Seminole City PUMA, Florida",59856,"Pinellas County (West Central)--Greater Seminole City PUMA, Florida",1953
G12010306,2014-2018,FL,Florida,12,10306,79500US1210306,"Pinellas County (Central)--Greater Pinellas Park City PUMA, Florida",43935,"Pinellas County (Central)--Greater Pinellas Park City PUMA, Florida",1321
G12010307,2014-2018,FL,Florida,12,10307,79500US1210307,"Pinellas County (Southeast)--St. Petersburg City (East) PUMA, Florida",52225,"Pinellas County (Southeast)--St. Petersburg City (East) PUMA, Florida",1216
G12010308,2014-2018,FL,Florida,12,10308,79500US1210308,"Pinellas County (South Central)--St. Petersburg City (West) PUMA, Florida",55114,"Pinellas County (South Central)--St. Petersburg City (West) PUMA, Florida",1417
G12010501,2014-2018,FL,Florida,12,10501,79500US1210501,"Polk County (Northwest) PUMA, Florida",46571,"Polk County (Northwest) PUMA, Florida",1688
G12010502,2014-2018,FL,Florida,12,10502,79500US1210502,"Polk County (Northeast) PUMA, Florida",47096,"Polk County (Northeast) PUMA, Florida",1270
G12010503,2014-2018,FL,Florida,12,10503,79500US1210503,"Polk County (Central) PUMA, Florida",56981,"Polk County (Central) PUMA, Florida",2058
G12010504,2014-2018,FL,Florida,12,10504,79500US1210504,"Polk County (South) PUMA, Florida",44960,"Polk County (South) PUMA, Florida",1570
G12010700,2014-2018,FL,Florida,12,10700,79500US1210700,"Putnam & St. Johns (South) Counties PUMA, Florida",40608,"Putnam & St. Johns (South) Counties PUMA, Florida",1125
G12010900,2014-2018,FL,Florida,12,10900,79500US1210900,"St. Johns County (North) PUMA, Florida",83436,"St. Johns County (North) PUMA, Florida",2596
G12011101,2014-2018,FL,Florida,12,11101,79500US1211101,"St. Lucie County (North) PUMA, Florida",39012,"St. Lucie County (North) PUMA, Florida",1469
G12011102,2014-2018,FL,Florida,12,11102,79500US1211102,"St. Lucie County (South) PUMA, Florida",57298,"St. Lucie County (South) PUMA, Florida",1764
G12011300,2014-2018,FL,Florida,12,11300,79500US1211300,"Santa Rosa County PUMA, Florida",66242,"Santa Rosa County PUMA, Florida",2140
G12011501,2014-2018,FL,Florida,12,11501,79500US1211501,"Sarasota County (North) PUMA, Florida",54977,"Sarasota County (North) PUMA, Florida",1904
G12011502,2014-2018,FL,Florida,12,11502,79500US1211502,"Sarasota County (Central & Gulf Coast) PUMA, Florida",61577,"Sarasota County (Central & Gulf Coast) PUMA, Florida",1865
G12011503,2014-2018,FL,Florida,12,11503,79500US1211503,"Sarasota County (East) PUMA, Florida",58406,"Sarasota County (East) PUMA, Florida",2001
G12011701,2014-2018,FL,Florida,12,11701,79500US1211701,"Seminole County (West) PUMA, Florida",67471,"Seminole County (West) PUMA, Florida",2427
G12011702,2014-2018,FL,Florida,12,11702,79500US1211702,"Seminole County (North Central) PUMA, Florida",58290,"Seminole County (North Central) PUMA, Florida",2268
G12011703,2014-2018,FL,Florida,12,11703,79500US1211703,"Seminole County (South Central) PUMA, Florida",56651,"Seminole County (South Central) PUMA, Florida",1257
G12011704,2014-2018,FL,Florida,12,11704,79500US1211704,"Seminole County (East) PUMA, Florida",78355,"Seminole County (East) PUMA, Florida",3512
G12012100,2014-2018,FL,Florida,12,12100,79500US1212100,"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties PUMA; Florida",38997,"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties PUMA; Florida",2201
G12012701,2014-2018,FL,Florida,12,12701,79500US1212701,"Volusia County (Central & Northwest)--DeLand, DeBary Cities & Pierson Town PUMA; Florida",47675,"Volusia County (Central & Northwest)--DeLand, DeBary Cities & Pierson Town PUMA; Florida",1904
G12012702,2014-2018,FL,Florida,12,12702,79500US1212702,"Volusia County (Northeast)--Daytona Beach, Ormond Beach & Holly Hill Cities PUMA; Florida",39423,"Volusia County (Northeast)--Daytona Beach, Ormond Beach & Holly Hill Cities PUMA; Florida",1463
G12012703,2014-2018,FL,Florida,12,12703,79500US1212703,"Volusia County--Port Orange, Edgewater, New Smyrna Beach (East) & Oak Hill Cities PUMA; Florida",46702,"Volusia County--Port Orange, Edgewater, New Smyrna Beach (East) & Oak Hill Cities PUMA; Florida",1527
G12012704,2014-2018,FL,Florida,12,12704,79500US1212704,"Volusia County (Southwest Central)--Deltona & Lake Helen Cities PUMA, Florida",53578,"Volusia County (Southwest Central)--Deltona & Lake Helen Cities PUMA, Florida",1369
G13000100,2014-2018,GA,Georgia,13,100,79500US1300100,"Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA, Georgia",52023,"Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA, Georgia",1390
G13000200,2014-2018,GA,Georgia,13,200,79500US1300200,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA; Georgia",52130,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA; Georgia",1724
G13000300,2014-2018,GA,Georgia,13,300,79500US1300300,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA; Georgia",50133,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA; Georgia",1647
G13000401,2014-2018,GA,Georgia,13,401,79500US1300401,"Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA, Georgia",44460,"Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA, Georgia",1773
G13000402,2014-2018,GA,Georgia,13,402,79500US1300402,"Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA, Georgia",72171,"Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA, Georgia",2787
G13000500,2014-2018,GA,Georgia,13,500,79500US1300500,"Southern Georgia Regional Commission (East & Central) PUMA, Georgia",38244,"Southern Georgia Regional Commission (East & Central) PUMA, Georgia",1537
G13000600,2014-2018,GA,Georgia,13,600,79500US1300600,"Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA, Georgia",41390,"Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA, Georgia",1499
G13000700,2014-2018,GA,Georgia,13,700,79500US1300700,"Southern Georgia Regional Commission (West) PUMA, Georgia",37961,"Southern Georgia Regional Commission (West) PUMA, Georgia",1623
G13000800,2014-2018,GA,Georgia,13,800,79500US1300800,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA; Georgia",39343,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA; Georgia",1645
G13000900,2014-2018,GA,Georgia,13,900,79500US1300900,"Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA, Georgia",42882,"Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA, Georgia",1456
G13001001,2014-2018,GA,Georgia,13,1001,79500US1301001,"Atlanta Regional Commission (Central)--Fulton County (North)--Sandy Springs City PUMA, Georgia",78722,"Atlanta Regional Commission (Central)--Fulton County (North)--Sandy Springs City PUMA, Georgia",2428
G13001002,2014-2018,GA,Georgia,13,1002,79500US1301002,"Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA, Georgia",117937,"Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA, Georgia",4788
G13001003,2014-2018,GA,Georgia,13,1003,79500US1301003,"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA, Georgia",41516,"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA, Georgia",1223
G13001004,2014-2018,GA,Georgia,13,1004,79500US1301004,"Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA, Georgia",53494,"Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA, Georgia",2729
G13001005,2014-2018,GA,Georgia,13,1005,79500US1301005,"Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA, Georgia",99339,"Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA, Georgia",4133
G13001006,2014-2018,GA,Georgia,13,1006,79500US1301006,"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (North) PUMA, Georgia",83440,"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (North) PUMA, Georgia",3154
G13001007,2014-2018,GA,Georgia,13,1007,79500US1301007,"Atlanta Regional Commission (Central)--Fulton County (East)--Atlanta City (Southeast) PUMA, Georgia",63308,"Atlanta Regional Commission (Central)--Fulton County (East)--Atlanta City (Southeast) PUMA, Georgia",2103
