,Mean,Median,Stdev
Occupants,0.76,0.0,1.26
Heating Setpoint,60.67,55.0,7.7
Cooling Setpoint,70.76,70.0,4.66
Income,27941.18,0.0,50082.54
Geometry Floor Area,1284.31,1250.0,783.2
Vintage,1993.0,1995.0,19.0
