,Mean,Median,Stdev
Occupants,2.41,2.0,1.24
Heating Setpoint,69.58,70.0,2.65
Cooling Setpoint,71.87,72.0,3.47
Income,96133.9,90000.0,56188.44
Geometry Floor Area,1968.46,1750.0,955.65
Vintage,1994.0,1995.0,17.0
