,Mean,Median,Stdev
Occupants,2.16,2.0,1.16
Heating Setpoint,68.01,69.0,6.12
Cooling Setpoint,68.12,68.0,6.23
Income,88075.0,75000.0,60109.12
Geometry Floor Area,1651.25,1250.0,916.22
Vintage,1994.0,1995.0,17.0
