,Mean,Median,Stdev
Occupants,2.67,2.0,1.7
Heating Setpoint,71.67,72.0,2.87
Cooling Setpoint,71.0,70.0,2.94
Income,55833.33,65000.0,32296.37
Geometry Floor Area,1000.0,875.0,176.78
Vintage,1992.0,1995.0,5.0
