scenario,gea_region,year,lrmer_co2e_kg_per_MWh
LowRECost,MISO_South,2050,193.3
LowRECost,NYISO,2025,344.4
LowRECost,NYISO,2030,199.7
LowRECost,NYISO,2035,192.4
LowRECost,NYISO,2040,0
LowRECost,NYISO,2045,0
LowRECost,NYISO,2050,0
LowRECost,NorthernGrid_East,2025,248
LowRECost,NorthernGrid_East,2030,57.3
LowRECost,NorthernGrid_East,2035,281.9
LowRECost,NorthernGrid_East,2040,124.1
LowRECost,NorthernGrid_East,2045,166.9
LowRECost,NorthernGrid_East,2050,156.6
LowRECost,NorthernGrid_South,2025,252.8
LowRECost,NorthernGrid_South,2030,89
LowRECost,NorthernGrid_South,2035,174.3
LowRECost,NorthernGrid_South,2040,136.9
LowRECost,NorthernGrid_South,2045,124.9
LowRECost,NorthernGrid_South,2050,114.9
LowRECost,NorthernGrid_West,2025,112.1
LowRECost,NorthernGrid_West,2030,24.2
LowRECost,NorthernGrid_West,2035,48.1
LowRECost,NorthernGrid_West,2040,18.4
LowRECost,NorthernGrid_West,2045,29.1
LowRECost,NorthernGrid_West,2050,26.5
LowRECost,PJM_East,2025,607.3
LowRECost,PJM_East,2030,318.1
LowRECost,PJM_East,2035,188.2
LowRECost,PJM_East,2040,228.6
LowRECost,PJM_East,2045,255.3
LowRECost,PJM_East,2050,248.6
LowRECost,PJM_West,2025,612.7
LowRECost,PJM_West,2030,90.9
LowRECost,PJM_West,2035,97.9
LowRECost,PJM_West,2040,29.8
LowRECost,PJM_West,2045,52.6
LowRECost,PJM_West,2050,87.4
LowRECost,SERTP,2025,613.3
LowRECost,SERTP,2030,228.4
LowRECost,SERTP,2035,68.7
LowRECost,SERTP,2040,145.3
LowRECost,SERTP,2045,141.3
LowRECost,SERTP,2050,193.1
LowRECost,SPP_North,2025,730.2
LowRECost,SPP_North,2030,103.7
LowRECost,SPP_North,2035,117.6
LowRECost,SPP_North,2040,61.2
LowRECost,SPP_North,2045,88
LowRECost,SPP_North,2050,56.9
LowRECost,SPP_South,2025,504.1
LowRECost,SPP_South,2030,101
LowRECost,SPP_South,2035,102.3
LowRECost,SPP_South,2040,100.6
LowRECost,SPP_South,2045,113
LowRECost,SPP_South,2050,147.8
LowRECost,WestConnect_North,2025,545.4
LowRECost,WestConnect_North,2030,83.3
LowRECost,WestConnect_North,2035,191.1
LowRECost,WestConnect_North,2040,148.8
LowRECost,WestConnect_North,2045,137.4
LowRECost,WestConnect_North,2050,123.8
LowRECost,WestConnect_South,2025,268
LowRECost,WestConnect_South,2030,128.9
LowRECost,WestConnect_South,2035,205.5
LowRECost,WestConnect_South,2040,106.8
LowRECost,WestConnect_South,2045,161
LowRECost,WestConnect_South,2050,123.4
HighRECost,CAISO,2025,272.7
HighRECost,CAISO,2030,179.7
HighRECost,CAISO,2035,74
HighRECost,CAISO,2040,47.5
HighRECost,CAISO,2045,22.2
HighRECost,CAISO,2050,25.9
HighRECost,ERCOT,2025,274.7
HighRECost,ERCOT,2030,172.4
HighRECost,ERCOT,2035,136.2
HighRECost,ERCOT,2040,142.2
HighRECost,ERCOT,2045,110.3
HighRECost,ERCOT,2050,140.5
HighRECost,FRCC,2025,500.8
HighRECost,FRCC,2030,423.8
HighRECost,FRCC,2035,330.4
HighRECost,FRCC,2040,278.8
HighRECost,FRCC,2045,312.7
HighRECost,FRCC,2050,298.5
HighRECost,ISONE,2025,315.2
HighRECost,ISONE,2030,213.1
HighRECost,ISONE,2035,148.5
HighRECost,ISONE,2040,98.2
HighRECost,ISONE,2045,74
HighRECost,ISONE,2050,43.7
HighRECost,MISO_Central,2025,677.5
HighRECost,MISO_Central,2030,283.5
HighRECost,MISO_Central,2035,220
HighRECost,MISO_Central,2040,225.4
HighRECost,MISO_Central,2045,199.7
HighRECost,MISO_Central,2050,202.6
HighRECost,MISO_North,2025,314.1
HighRECost,MISO_North,2030,209.7
HighRECost,MISO_North,2035,140.3
HighRECost,MISO_North,2040,140.1
HighRECost,MISO_North,2045,89.1
HighRECost,MISO_North,2050,115
HighRECost,MISO_South,2025,668.3
HighRECost,MISO_South,2030,316
HighRECost,MISO_South,2035,206.7
HighRECost,MISO_South,2040,197.3
HighRECost,MISO_South,2045,186
HighRECost,MISO_South,2050,170.2
HighRECost,NYISO,2025,334.3
HighRECost,NYISO,2030,190.1
HighRECost,NYISO,2035,160.4
HighRECost,NYISO,2040,0
HighRECost,NYISO,2045,0
HighRECost,NYISO,2050,0
HighRECost,NorthernGrid_East,2025,392.3
HighRECost,NorthernGrid_East,2030,296.2
HighRECost,NorthernGrid_East,2035,188.5
HighRECost,NorthernGrid_East,2040,206.9
HighRECost,NorthernGrid_East,2045,259.3
HighRECost,NorthernGrid_East,2050,192.2
HighRECost,NorthernGrid_South,2025,316.5
HighRECost,NorthernGrid_South,2030,209.4
HighRECost,NorthernGrid_South,2035,179.6
HighRECost,NorthernGrid_South,2040,169.8
HighRECost,NorthernGrid_South,2045,177.5
HighRECost,NorthernGrid_South,2050,130.5
HighRECost,NorthernGrid_West,2025,184.6
HighRECost,NorthernGrid_West,2030,58.3
HighRECost,NorthernGrid_West,2035,41.3
HighRECost,NorthernGrid_West,2040,48.9
HighRECost,NorthernGrid_West,2045,50.6
HighRECost,NorthernGrid_West,2050,39.1
HighRECost,PJM_East,2025,585.5
HighRECost,PJM_East,2030,333.4
HighRECost,PJM_East,2035,267
HighRECost,PJM_East,2040,289.9
HighRECost,PJM_East,2045,290.3
HighRECost,PJM_East,2050,280.7
HighRECost,PJM_West,2025,559.6
HighRECost,PJM_West,2030,204.9
HighRECost,PJM_West,2035,170.3
HighRECost,PJM_West,2040,176.6
HighRECost,PJM_West,2045,106.6
HighRECost,PJM_West,2050,69
HighRECost,SERTP,2025,585.7
HighRECost,SERTP,2030,372.3
HighRECost,SERTP,2035,166.6
HighRECost,SERTP,2040,235.4
HighRECost,SERTP,2045,212.2
HighRECost,SERTP,2050,204.5
HighRECost,SPP_North,2025,538.3
HighRECost,SPP_North,2030,218.3
HighRECost,SPP_North,2035,146.4
HighRECost,SPP_North,2040,154.4
HighRECost,SPP_North,2045,117
HighRECost,SPP_North,2050,60.3
HighRECost,SPP_South,2025,454.4
HighRECost,SPP_South,2030,192.3
HighRECost,SPP_South,2035,139.6
HighRECost,SPP_South,2040,149.3
HighRECost,SPP_South,2045,127.3
HighRECost,SPP_South,2050,153.4
HighRECost,WestConnect_North,2025,734.7
HighRECost,WestConnect_North,2030,262.5
HighRECost,WestConnect_North,2035,154.6
HighRECost,WestConnect_North,2040,166.3
HighRECost,WestConnect_North,2045,171
HighRECost,WestConnect_North,2050,151
HighRECost,WestConnect_South,2025,336.2
HighRECost,WestConnect_South,2030,248.3
HighRECost,WestConnect_South,2035,218.6
HighRECost,WestConnect_South,2040,203.2
HighRECost,WestConnect_South,2045,231
HighRECost,WestConnect_South,2050,169
HighDemandGrowth,CAISO,2025,283.4
HighDemandGrowth,CAISO,2030,148.4
HighDemandGrowth,CAISO,2035,62.3
HighDemandGrowth,CAISO,2040,55.7
HighDemandGrowth,CAISO,2045,22
HighDemandGrowth,CAISO,2050,21.1
HighDemandGrowth,ERCOT,2025,281.8
HighDemandGrowth,ERCOT,2030,127.1
HighDemandGrowth,ERCOT,2035,106.2
HighDemandGrowth,ERCOT,2040,99
HighDemandGrowth,ERCOT,2045,116
HighDemandGrowth,ERCOT,2050,125.6
HighDemandGrowth,FRCC,2025,524.1
HighDemandGrowth,FRCC,2030,348.3
HighDemandGrowth,FRCC,2035,306.9
HighDemandGrowth,FRCC,2040,136
HighDemandGrowth,FRCC,2045,264.9
HighDemandGrowth,FRCC,2050,154.5
HighDemandGrowth,ISONE,2025,307.3
HighDemandGrowth,ISONE,2030,229.7
HighDemandGrowth,ISONE,2035,141.5
HighDemandGrowth,ISONE,2040,86.3
HighDemandGrowth,ISONE,2045,65.3
HighDemandGrowth,ISONE,2050,42.1
HighDemandGrowth,MISO_Central,2025,705.7
HighDemandGrowth,MISO_Central,2030,244.9
HighDemandGrowth,MISO_Central,2035,219.2
HighDemandGrowth,MISO_Central,2040,170.4
HighDemandGrowth,MISO_Central,2045,169.7
HighDemandGrowth,MISO_Central,2050,119.9
HighDemandGrowth,MISO_North,2025,458
HighDemandGrowth,MISO_North,2030,192.4
HighDemandGrowth,MISO_North,2035,151.6
HighDemandGrowth,MISO_North,2040,125.2
HighDemandGrowth,MISO_North,2045,104
HighDemandGrowth,MISO_North,2050,96.2
HighDemandGrowth,MISO_South,2025,739.9
HighDemandGrowth,MISO_South,2030,248.4
HighDemandGrowth,MISO_South,2035,230.1
HighDemandGrowth,MISO_South,2040,155.8
HighDemandGrowth,MISO_South,2045,90.5
HighDemandGrowth,MISO_South,2050,91.7
HighDemandGrowth,NYISO,2025,371.2
HighDemandGrowth,NYISO,2030,207.3
HighDemandGrowth,NYISO,2035,172.9
HighDemandGrowth,NYISO,2040,0
HighDemandGrowth,NYISO,2045,0
HighDemandGrowth,NYISO,2050,0
HighDemandGrowth,NorthernGrid_East,2025,495.6
HighDemandGrowth,NorthernGrid_East,2030,105.8
HighDemandGrowth,NorthernGrid_East,2035,185.8
HighDemandGrowth,NorthernGrid_East,2040,165.8
HighDemandGrowth,NorthernGrid_East,2045,238.6
HighDemandGrowth,NorthernGrid_East,2050,262.5
HighDemandGrowth,NorthernGrid_South,2025,303.4
HighDemandGrowth,NorthernGrid_South,2030,174.2
HighDemandGrowth,NorthernGrid_South,2035,163.2
HighDemandGrowth,NorthernGrid_South,2040,183.7
HighDemandGrowth,NorthernGrid_South,2045,158.4
HighDemandGrowth,NorthernGrid_South,2050,150.8
HighDemandGrowth,NorthernGrid_West,2025,259.3
HighDemandGrowth,NorthernGrid_West,2030,39
HighDemandGrowth,NorthernGrid_West,2035,32.7
HighDemandGrowth,NorthernGrid_West,2040,37.6
HighDemandGrowth,NorthernGrid_West,2045,43.4
HighDemandGrowth,NorthernGrid_West,2050,40
HighDemandGrowth,PJM_East,2025,575.3
HighDemandGrowth,PJM_East,2030,361.5
HighDemandGrowth,PJM_East,2035,326.9
HighDemandGrowth,PJM_East,2040,244.6
HighDemandGrowth,PJM_East,2045,253.3
HighDemandGrowth,PJM_East,2050,245.1
HighDemandGrowth,PJM_West,2025,618.6
HighDemandGrowth,PJM_West,2030,164.9
HighDemandGrowth,PJM_West,2035,147.9
HighDemandGrowth,PJM_West,2040,127.4
HighDemandGrowth,PJM_West,2045,149.4
HighDemandGrowth,PJM_West,2050,57.9
HighDemandGrowth,SERTP,2025,648.5
HighDemandGrowth,SERTP,2030,282.4
HighDemandGrowth,SERTP,2035,263
HighDemandGrowth,SERTP,2040,185.9
HighDemandGrowth,SERTP,2045,144.3
HighDemandGrowth,SERTP,2050,166.6
HighDemandGrowth,SPP_North,2025,579.3
HighDemandGrowth,SPP_North,2030,221.3
HighDemandGrowth,SPP_North,2035,155.1
HighDemandGrowth,SPP_North,2040,181.9
HighDemandGrowth,SPP_North,2045,109.2
HighDemandGrowth,SPP_North,2050,49.7
HighDemandGrowth,SPP_South,2025,441.5
HighDemandGrowth,SPP_South,2030,168.7
HighDemandGrowth,SPP_South,2035,136.2
HighDemandGrowth,SPP_South,2040,103.8
HighDemandGrowth,SPP_South,2045,91.3
HighDemandGrowth,SPP_South,2050,91.3
HighDemandGrowth,WestConnect_North,2025,544.1
HighDemandGrowth,WestConnect_North,2030,171.8
HighDemandGrowth,WestConnect_North,2035,165.2
HighDemandGrowth,WestConnect_North,2040,152.9
HighDemandGrowth,WestConnect_North,2045,154.8
HighDemandGrowth,WestConnect_North,2050,171.6
HighDemandGrowth,WestConnect_South,2025,399.4
HighDemandGrowth,WestConnect_South,2030,147
HighDemandGrowth,WestConnect_South,2035,177.3
HighDemandGrowth,WestConnect_South,2040,146
HighDemandGrowth,WestConnect_South,2045,174.1
HighDemandGrowth,WestConnect_South,2050,207.8
LowNGPrice,CAISO,2025,265.9
LowNGPrice,CAISO,2030,124.1
LowNGPrice,CAISO,2035,67.6
LowNGPrice,CAISO,2040,49.8
LowNGPrice,CAISO,2045,24.8
LowNGPrice,CAISO,2050,23.9
LowNGPrice,ERCOT,2025,277.3
LowNGPrice,ERCOT,2030,162.4
LowNGPrice,ERCOT,2035,118
LowNGPrice,ERCOT,2040,88.3
LowNGPrice,ERCOT,2045,62.2
LowNGPrice,ERCOT,2050,83.6
LowNGPrice,FRCC,2025,515.9
LowNGPrice,FRCC,2030,391.6
LowNGPrice,FRCC,2035,333.8
LowNGPrice,FRCC,2040,319.1
LowNGPrice,FRCC,2045,322.4
LowNGPrice,FRCC,2050,244.7
LowNGPrice,ISONE,2025,325.9
LowNGPrice,ISONE,2030,234.5
LowNGPrice,ISONE,2035,146
LowNGPrice,ISONE,2040,104.6
LowNGPrice,ISONE,2045,66.9
LowNGPrice,ISONE,2050,45.7
LowNGPrice,MISO_Central,2025,692.9
LowNGPrice,MISO_Central,2030,151.7
LowNGPrice,MISO_Central,2035,207.9
LowNGPrice,MISO_Central,2040,164.7
LowNGPrice,MISO_Central,2045,109.5
LowNGPrice,MISO_Central,2050,142.6
LowNGPrice,MISO_North,2025,410.2
LowNGPrice,MISO_North,2030,89.9
LowNGPrice,MISO_North,2035,114.4
LowNGPrice,MISO_North,2040,120.9
LowNGPrice,MISO_North,2045,88.2
LowNGPrice,MISO_North,2050,110.9
LowNGPrice,MISO_South,2025,562
LowNGPrice,MISO_South,2030,320.9
LowNGPrice,MISO_South,2035,185.8
LowNGPrice,MISO_South,2040,170.9
LowNGPrice,MISO_South,2045,172.4
LowNGPrice,MISO_South,2050,174.6
LowNGPrice,NYISO,2025,353.1
LowNGPrice,NYISO,2030,198
LowNGPrice,NYISO,2035,182.1
LowNGPrice,NYISO,2040,0
LowNGPrice,NYISO,2045,0
LowNGPrice,NYISO,2050,0
LowNGPrice,NorthernGrid_East,2025,193.8
LowNGPrice,NorthernGrid_East,2030,153.9
LowNGPrice,NorthernGrid_East,2035,296.9
LowNGPrice,NorthernGrid_East,2040,165
LowNGPrice,NorthernGrid_East,2045,204.7
LowNGPrice,NorthernGrid_East,2050,153.1
LowNGPrice,NorthernGrid_South,2025,238
LowNGPrice,NorthernGrid_South,2030,234.4
LowNGPrice,NorthernGrid_South,2035,196.6
LowNGPrice,NorthernGrid_South,2040,159.7
LowNGPrice,NorthernGrid_South,2045,145.2
LowNGPrice,NorthernGrid_South,2050,108.3
LowNGPrice,NorthernGrid_West,2025,131.8
LowNGPrice,NorthernGrid_West,2030,38.5
LowNGPrice,NorthernGrid_West,2035,52.1
LowNGPrice,NorthernGrid_West,2040,34
LowNGPrice,NorthernGrid_West,2045,48.8
LowNGPrice,NorthernGrid_West,2050,29.3
LowNGPrice,PJM_East,2025,640.1
LowNGPrice,PJM_East,2030,257.6
LowNGPrice,PJM_East,2035,273.6
LowNGPrice,PJM_East,2040,236.8
LowNGPrice,PJM_East,2045,248.7
LowNGPrice,PJM_East,2050,239.5
LowNGPrice,PJM_West,2025,622.9
LowNGPrice,PJM_West,2030,69
LowNGPrice,PJM_West,2035,133.2
LowNGPrice,PJM_West,2040,114.3
LowNGPrice,PJM_West,2045,81.1
LowNGPrice,PJM_West,2050,60.7
LowNGPrice,SERTP,2025,599.2
LowNGPrice,SERTP,2030,205.6
LowNGPrice,SERTP,2035,194.4
LowNGPrice,SERTP,2040,155.6
LowNGPrice,SERTP,2045,107.6
LowNGPrice,SERTP,2050,200
LowNGPrice,SPP_North,2025,547.9
LowNGPrice,SPP_North,2030,94.4
LowNGPrice,SPP_North,2035,103.1
LowNGPrice,SPP_North,2040,99.1
LowNGPrice,SPP_North,2045,89.1
LowNGPrice,SPP_North,2050,53.8
LowNGPrice,SPP_South,2025,424.6
