"Table 4.  Residential Sector Key Indicators and Consumption"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2023&cases=ref2023&sourcekey=0"
"Thu Nov 14 2024 15:24:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2022-2050)"
Key Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Cooling,"Residential: Electricity: Space Cooling": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPC_ELC_NA_USA_QBTU.A,"quads",,0.853587,0.735192,0.890909,0.91105,0.930181,0.950142,0.969709,0.988224,1.004471,1.019774,1.036202,1.052583,1.069291,1.088333,1.109122,1.130924,1.152515,1.174549,1.196908,1.219416,1.242558,1.266365,1.29112,1.3168,1.344624,1.373569,1.403082,1.432529,1.463148,"1.9%"
Water Heating,"Residential: Electricity: Water Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_WTHT_ELC_NA_USA_QBTU.A,"quads",,0.599797,0.598845,0.598786,0.599582,0.599536,0.599125,0.59802,0.596113,0.593223,0.589911,0.586847,0.586124,0.586146,0.588552,0.591464,0.594365,0.596931,0.599321,0.601795,0.604464,0.607404,0.610584,0.613738,0.616835,0.620251,0.623921,0.627667,0.631618,0.63608,"0.2%"
Refrigeration,"Residential: Electricity: Refrigeration": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_REFR_ELC_NA_USA_QBTU.A,"quads",,0.295558,0.293987,0.292668,0.29163,0.290783,0.290158,0.289778,0.289615,0.289659,0.289986,0.29063,0.29157,0.292795,0.294343,0.296242,0.298447,0.30096,0.303745,0.306848,0.310249,0.313888,0.317482,0.321024,0.324507,0.327915,0.33125,0.334496,0.337645,0.340702,"0.5%"
Cooking,"Residential: Electricity: Cooking": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CGR_ELC_NA_USA_QBTU.A,"quads",,0.055863,0.056202,0.056536,0.056875,0.057205,0.05753,0.057848,0.058138,0.058391,0.058604,0.058781,0.058966,0.05917,0.059404,0.05968,0.059996,0.060304,0.060601,0.060895,0.061182,0.061454,0.061714,0.061964,0.062203,0.062434,0.062659,0.06288,0.063098,0.063319,"0.4%"
Clothes Dryers,"Residential: Electricity: Clothes Dryers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CDR_ELC_NA_USA_QBTU.A,"quads",,0.222467,0.227024,0.231891,0.237295,0.242448,0.247266,0.251793,0.25596,0.259671,0.263071,0.266436,0.269392,0.272342,0.275723,0.279342,0.282799,0.285963,0.289075,0.292206,0.295411,0.298723,0.30216,0.305635,0.309109,0.31273,0.31651,0.320307,0.324172,0.328278,"1.4%"
Freezers,"Residential: Electricity: Freezers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_FRZ_ELC_NA_USA_QBTU.A,"quads",,0.069007,0.06885,0.068687,0.068516,0.068318,0.068105,0.067922,0.067761,0.067615,0.067486,0.067377,0.067287,0.067216,0.067169,0.067159,0.067178,0.067229,0.067311,0.067431,0.067596,0.067794,0.068036,0.068326,0.068666,0.069053,0.069481,0.069904,0.070319,0.070729,"0.1%"
Lighting,"Residential: Electricity: Lighting": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_LGHTNG_ELC_NA_USA_QBTU.A,"quads",,0.22927,0.21316,0.206794,0.205129,0.2052,0.206404,0.20833,0.210226,0.209704,0.209164,0.208855,0.208568,0.208536,0.209016,0.209627,0.210178,0.210558,0.210954,0.207703,0.205012,0.202911,0.201467,0.200848,0.20064,0.200592,0.20073,0.200991,0.201423,0.202056,"-0.5%"
Clothes Washers,"Residential: Electricity: Clothes Washers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CLW_ELC_NA_USA_QBTU.A,"quads",,0.037489,0.037813,0.038144,0.038486,0.038827,0.039168,0.039519,0.039875,0.040246,0.040617,0.040992,0.041365,0.041733,0.042099,0.042465,0.042828,0.043187,0.043542,0.043898,0.044252,0.044599,0.044942,0.045282,0.045619,0.045952,0.046283,0.046611,0.046936,0.047258,"0.8%"
Dishwashers,"Residential: Electricity: Dishwashers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DSW_ELC_NA_USA_QBTU.A,"quads",,0.027618,0.028064,0.028506,0.028945,0.02937,0.029782,0.030233,0.030722,0.031242,0.031797,0.032392,0.033027,0.033702,0.034373,0.035043,0.03571,0.036375,0.037036,0.037698,0.038359,0.039015,0.039667,0.040316,0.040962,0.041605,0.042245,0.042882,0.043514,0.044143,"1.7%"
Televisions and Related Equipment,"Residential: Electricity: Televisions": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_TVR_ELC_NA_USA_QBTU.A,"quads",,0.185092,0.181559,0.178365,0.175692,0.172951,0.170143,0.167198,0.164139,0.160987,0.157867,0.154866,0.151867,0.148998,0.146585,0.144473,0.142566,0.14076,0.139189,0.13791,0.136911,0.136207,0.135755,0.135537,0.135552,0.135802,0.136265,0.13685,0.137593,0.138527,"-1.0%"
