"Table 4.  Residential Sector Key Indicators and Consumption"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2023&cases=ref2023&sourcekey=0"
"Thu Nov 14 2024 15:24:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2022-2050)"
Key Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refrigeration,"Residential: Delivered Energy Use by End Use: Refrigeration": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_REFR_DEE_NA_USA_QBTU.A,"quads",,0.295558,0.293987,0.292668,0.29163,0.290783,0.290158,0.289778,0.289615,0.289659,0.289986,0.29063,0.29157,0.292795,0.294343,0.296242,0.298447,0.30096,0.303745,0.306848,0.310249,0.313888,0.317482,0.321024,0.324507,0.327915,0.33125,0.334496,0.337645,0.340702,"0.5%"
Cooking,"Residential: Delivered Energy Use by End Use: Cooking": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CGR_DEE_NA_USA_QBTU.A,"quads",,0.176332,0.176672,0.177028,0.177417,0.177783,0.178128,0.17849,0.178893,0.179315,0.179774,0.180291,0.180956,0.181724,0.182619,0.183652,0.18481,0.185975,0.187144,0.188336,0.189544,0.190752,0.191971,0.193201,0.194441,0.195682,0.196927,0.198164,0.199384,0.200584,"0.5%"
Clothes Dryers,"Residential: Delivered Energy Use by End Use: Clothes Dryers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CDR_DEE_NA_USA_QBTU.A,"quads",,0.262179,0.267055,0.272718,0.279166,0.285413,0.291308,0.296853,0.301887,0.306369,0.310484,0.314552,0.318182,0.321786,0.325803,0.330063,0.334185,0.338012,0.341829,0.345681,0.349609,0.353661,0.357871,0.362147,0.366391,0.370625,0.375061,0.379581,0.384197,0.389028,"1.4%"
Freezers,"Residential: Delivered Energy Use by End Use: Freezers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_FRZ_DEE_NA_USA_QBTU.A,"quads",,0.069007,0.06885,0.068687,0.068516,0.068318,0.068105,0.067922,0.067761,0.067615,0.067486,0.067377,0.067287,0.067216,0.067169,0.067159,0.067178,0.067229,0.067311,0.067431,0.067596,0.067794,0.068036,0.068326,0.068666,0.069053,0.069481,0.069904,0.070319,0.070729,"0.1%"
Lighting,"Residential: Delivered Energy Use by End Use: Lighting": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_LGHTNG_DEE_NA_USA_QBTU.A,"quads",,0.22927,0.21316,0.206794,0.205129,0.2052,0.206404,0.20833,0.210226,0.209704,0.209164,0.208855,0.208568,0.208536,0.209016,0.209627,0.210178,0.210558,0.210954,0.207703,0.205012,0.202911,0.201467,0.200848,0.20064,0.200592,0.20073,0.200991,0.201423,0.202056,"-0.5%"
Clothes Washers,"Residential: Delivered Energy Use by End Use: Clothes Washers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CLW_DEE_NA_USA_QBTU.A,"quads",,0.037489,0.037813,0.038144,0.038486,0.038827,0.039168,0.039519,0.039875,0.040246,0.040617,0.040992,0.041365,0.041733,0.042099,0.042465,0.042828,0.043187,0.043542,0.043898,0.044252,0.044599,0.044942,0.045282,0.045619,0.045952,0.046283,0.046611,0.046936,0.047258,"0.8%"
Dishwashers,"Residential: Delivered Energy Use by End Use: Dishwashers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DSW_DEE_NA_USA_QBTU.A,"quads",,0.027618,0.028064,0.028506,0.028945,0.02937,0.029782,0.030233,0.030722,0.031242,0.031797,0.032392,0.033027,0.033702,0.034373,0.035043,0.03571,0.036375,0.037036,0.037698,0.038359,0.039015,0.039667,0.040316,0.040962,0.041605,0.042245,0.042882,0.043514,0.044143,"1.7%"
Televisions and Related Equipment,"Residential: Delivered Energy Use by End Use: Televisions": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_TVR_DEE_NA_USA_QBTU.A,"quads",,0.185092,0.181559,0.178365,0.175692,0.172951,0.170143,0.167198,0.164139,0.160987,0.157867,0.154866,0.151867,0.148998,0.146585,0.144473,0.142566,0.14076,0.139189,0.13791,0.136911,0.136207,0.135755,0.135537,0.135552,0.135802,0.136265,0.13685,0.137593,0.138527,"-1.0%"
Computers and Related Equipment,"Residential: Delivered Energy Use by End Use: Computers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CMPR_DEE_NA_USA_QBTU.A,"quads",,0.120106,0.118562,0.116931,0.115363,0.113493,0.111328,0.108857,0.106117,0.103168,0.100088,0.09698,0.093786,0.09061,0.087647,0.084848,0.082133,0.079493,0.077008,0.074726,0.072652,0.070825,0.069227,0.067875,0.066753,0.065956,0.065417,0.065087,0.064993,0.065107,"-2.2%"
Furnace Fans and Boiler Circulation Pumps,"Residential: Delivered Energy Use by End Use: Fans and Pumps": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_FPR_DEE_NA_USA_QBTU.A,"quads",,0.089175,0.08825,0.079128,0.080094,0.08098,0.08173,0.08228,0.08254,0.082562,0.082343,0.081924,0.081309,0.080431,0.07939,0.078254,0.077045,0.075694,0.074349,0.07305,0.071817,0.07064,0.069588,0.068662,0.067823,0.067006,0.066321,0.065775,0.065344,0.064997,"-1.1%"
Other Uses,"Residential: Delivered Energy Use by End Use: Other Uses": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_OTHU_DEE_NA_USA_QBTU.A,"quads",,2.037398,2.085668,2.114172,2.15381,2.193656,2.237911,2.276552,2.310099,2.342685,2.374795,2.40728,2.439503,2.469323,2.502968,2.539162,2.577702,2.614976,2.653268,2.693851,2.735276,2.779413,2.825256,2.872853,2.92209,2.972497,3.025447,3.079815,3.136191,3.196599,"1.6%"
Gross End-use Consumption,"Residential: Energy Consumption by End Use: Gross End-use Consumption": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_TUS_DEE_NA_USA_QBTU.A,"quads",,11.871545,11.838481,11.526081,11.580305,11.635993,11.689837,11.730596,11.752335,11.759981,11.76046,11.762243,11.775377,11.783529,11.804331,11.834376,11.870398,11.902811,11.940166,11.979717,12.023415,12.073841,12.131802,12.196539,12.263962,12.330469,12.404661,12.484758,12.568653,12.657738,"0.2%"
On-site Generation for Own Use,"Residential: Energy Consumption by End Use: Generation for Own Use": Reference case,AEO.2023.REF2023.GEN_NA_RESD_GFO_DEE_NA_USA_QBTU.A,"quads",,0.112023,0.123458,0.136529,0.149777,0.163009,0.176585,0.19053,0.204945,0.21982,0.235246,0.25149,0.267937,0.28465,0.299474,0.314918,0.330968,0.348012,0.366187,0.3854,0.405709,0.427124,0.44966,0.473071,0.497574,0.522997,0.549355,0.576946,0.605268,0.634524,"6.4%"
Delivered Energy,"Residential: Energy Consumption by End Use: Delivered Energy": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DELE_DEE_NA_USA_QBTU.A,"quads",,11.759521,11.715023,11.389552,11.430529,11.472984,11.513251,11.540066,11.547389,11.540161,11.525214,11.510754,11.50744,11.498879,11.504856,11.519459,11.539429,11.554799,11.573979,11.594316,11.617705,11.646717,11.682141,11.723468,11.766388,11.807472,11.855307,11.907812,11.963385,12.023213,"0.1%"
Electricity Related Losses,"Residential: Electricity Related Losses": Reference case,AEO.2023.REF2023.CNSM_LOSSES_RESD_NA_ENRL_NA_USA_QBTU.A,"quads",,9.431884,9.061446,9.215983,9.27758,9.264794,9.248041,9.204556,9.16187,9.133,9.153221,9.218598,9.2463,9.313498,9.377416,9.447539,9.487012,9.491396,9.49157,9.514772,9.557769,9.643615,9.717905,9.805035,9.906764,9.974902,10.062102,10.154728,10.235389,10.336385,"0.3%"
Total Energy Consumption by End Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Heating,"Residential: Total Energy Use by End Use: Space Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPH_TEE_NA_USA_QBTU.A,"quads",,7.110015,7.152661,6.505752,6.481146,6.446995,6.402728,6.348807,6.286177,6.219484,6.155372,6.095963,6.04086,5.986131,5.932523,5.882059,5.830431,5.774178,5.720133,5.671903,5.62778,5.589119,5.552104,5.517498,5.483564,5.443891,5.407531,5.373238,5.338401,5.304385,"-1.0%"
Space Cooling,"Residential: Total Energy Use by End Use: Space Cooling": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SPC_TEE_NA_USA_QBTU.A,"quads",,2.47652,2.105813,2.555955,2.609767,2.647732,2.685529,2.71932,2.752531,2.784432,2.823819,2.874449,2.917299,2.969324,3.022695,3.080329,3.133481,3.179847,3.226057,3.277918,3.333478,3.398369,3.461468,3.528827,3.600989,3.669588,3.743907,3.820605,3.893471,3.971736,"1.7%"
Water Heating,"Residential: Total Energy Use by End Use: Water Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_WTHT_TEE_NA_USA_QBTU.A,"quads",,2.785069,2.751679,2.761014,2.774418,2.778686,2.780505,2.778927,2.774831,2.770231,2.768322,2.770947,2.775383,2.785916,2.800031,2.815281,2.82618,2.832077,2.837339,2.845284,2.855257,2.869954,2.884296,2.900232,2.91678,2.927033,2.940495,2.956146,2.971393,2.988648,"0.3%"
Refrigeration,"Residential: Total Energy Use by End Use: Refrigeration": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_REFR_TEE_NA_USA_QBTU.A,"quads",,0.837116,0.821863,0.82011,0.816244,0.80892,0.801723,0.794599,0.789021,0.785615,0.785959,0.78948,0.791646,0.796851,0.801514,0.806954,0.811274,0.814845,0.818855,0.825009,0.832846,0.843261,0.852645,0.862313,0.872397,0.879996,0.888089,0.896151,0.903103,0.910376,"0.3%"
Cooking,"Residential: Total Energy Use by End Use: Cooking": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CGR_TEE_NA_USA_QBTU.A,"quads",,0.278691,0.277586,0.278916,0.279729,0.279715,0.279556,0.279267,0.279145,0.279292,0.280007,0.281185,0.282089,0.283588,0.284976,0.286538,0.287902,0.288942,0.289914,0.291167,0.292601,0.294395,0.296,0.29768,0.299464,0.300796,0.302258,0.303746,0.305056,0.306457,"0.3%"
Clothes Dryers,"Residential: Total Energy Use by End Use: Clothes Dryers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CDR_TEE_NA_USA_QBTU.A,"quads",,0.66981,0.674694,0.690628,0.706037,0.717424,0.727251,0.735502,0.743259,0.75098,0.760422,0.771873,0.780219,0.79063,0.80089,0.811639,0.820126,0.82629,0.83206,0.839117,0.847212,0.857459,0.867207,0.877489,0.888283,0.897141,0.907121,0.917411,0.927091,0.937927,"1.2%"
Freezers,"Residential: Total Energy Use by End Use: Freezers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_FRZ_TEE_NA_USA_QBTU.A,"quads",,0.195449,0.192474,0.192473,0.191769,0.190053,0.188178,0.186248,0.184606,0.183387,0.182909,0.183025,0.182693,0.182931,0.182904,0.182938,0.18261,0.182022,0.18146,0.181299,0.181458,0.182129,0.18272,0.183532,0.184599,0.185312,0.186281,0.18728,0.188084,0.188993,"-0.1%"
Lighting,"Residential: Total Energy Use by End Use: Lighting": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_LGHTNG_TEE_NA_USA_QBTU.A,"quads",,0.649367,0.595905,0.579474,0.574137,0.570839,0.570306,0.57126,0.572736,0.56876,0.566906,0.567342,0.566285,0.567537,0.569162,0.571018,0.571332,0.570084,0.568703,0.558443,0.550342,0.545122,0.54107,0.539506,0.539396,0.538311,0.538162,0.538476,0.538749,0.539906,"-0.7%"
Clothes Washers,"Residential: Total Energy Use by End Use: Clothes Washers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CLW_TEE_NA_USA_QBTU.A,"quads",,0.106182,0.105708,0.106885,0.107719,0.108011,0.108223,0.108365,0.108634,0.109156,0.110086,0.111352,0.11231,0.113578,0.114638,0.115674,0.11642,0.116929,0.117383,0.118026,0.118792,0.119816,0.1207,0.121634,0.12264,0.123317,0.124087,0.124877,0.12554,0.126277,"0.6%"
Dishwashers,"Residential: Total Energy Use by End Use: Dishwashers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_DSW_TEE_NA_USA_QBTU.A,"quads",,0.078223,0.078456,0.079879,0.081015,0.081704,0.082288,0.082902,0.083698,0.084734,0.086179,0.087991,0.089672,0.091722,0.0936,0.095456,0.097072,0.098484,0.099843,0.101357,0.102973,0.104813,0.106531,0.108293,0.110121,0.111651,0.11326,0.114884,0.116387,0.117952,"1.5%"
Televisions and Related Equipment,"Residential: Total Energy Use by End Use: Televisions": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_TVR_TEE_NA_USA_QBTU.A,"quads",,0.524241,0.50756,0.499812,0.491745,0.481127,0.470115,0.458474,0.447178,0.43663,0.427872,0.420683,0.412336,0.405502,0.39916,0.393541,0.387539,0.381106,0.375235,0.370793,0.36753,0.36592,0.36459,0.364071,0.364416,0.364439,0.36533,0.366635,0.368021,0.370152,"-1.2%"
Computers and Related Equipment,"Residential: Total Energy Use by End Use: Computers": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_CMPR_TEE_NA_USA_QBTU.A,"quads",,0.340178,0.33145,0.327662,0.322891,0.315723,0.307605,0.298498,0.289104,0.279812,0.271273,0.263439,0.25464,0.246597,0.238668,0.231122,0.223264,0.215225,0.207604,0.200912,0.195029,0.190272,0.18592,0.182322,0.179457,0.177,0.175386,0.174376,0.173838,0.17397,"-2.4%"
Furnace Fans and Boiler Circulation Pumps,"Residential: Total Energy Use by End Use: Fans and Pumps": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_FPR_TEE_NA_USA_QBTU.A,"quads",,0.252573,0.24671,0.221731,0.224176,0.225276,0.225825,0.225621,0.224869,0.223926,0.223178,0.222542,0.220762,0.218897,0.216183,0.213162,0.209433,0.20494,0.200434,0.196406,0.192789,0.189775,0.18689,0.184436,0.182334,0.179819,0.177807,0.176219,0.174776,0.173677,"-1.3%"
Other Uses,"Residential: Total Energy Use by End Use: Other Uses": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_OTHU_TEE_NA_USA_QBTU.A,"quads",,5.205466,5.279265,5.368068,5.466795,5.539333,5.619686,5.679614,5.732172,5.793295,5.87413,5.972672,6.055487,6.148349,6.241326,6.339656,6.429622,6.504057,6.57834,6.668315,6.76717,6.888118,7.006293,7.132197,7.267217,7.388483,7.521447,7.659168,7.794793,7.945688,"1.5%"
Total Gross End-use Consumption,"Residential: Total Energy Use by End Use: Total Gross End-use Consumption": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_TOTENCONS_TEE_NA_USA_QBTU.A,"quads",,21.508896,21.121822,20.988358,21.127586,21.191536,21.249516,21.267403,21.267963,21.269733,21.316433,21.412941,21.481678,21.587553,21.698273,21.825367,21.926689,21.989027,22.05336,22.14595,22.265259,22.438522,22.608433,22.800034,23.011658,23.186775,23.391161,23.609211,23.818703,24.056145,"0.4%"
Generation for Own Use,"Residential: Generation for Own Use: Total Gross End-use Consumption": Reference case,AEO.2023.REF2023.GEN_NA_RESD_GFO_TEE_NA_USA_QBTU.A,"quads",,0.112023,0.123458,0.136529,0.149777,0.163009,0.176585,0.19053,0.204945,0.21982,0.235246,0.25149,0.267937,0.28465,0.299474,0.314918,0.330968,0.348012,0.366187,0.3854,0.405709,0.427124,0.44966,0.473071,0.497574,0.522997,0.549355,0.576946,0.605268,0.634524,"6.4%"
Total Net Own-use Generation,"Residential: Total Net Own-use Generation: Total Gross End-use Consumption": Reference case,AEO.2023.REF2023.GEN_NA_RESD_TTG_TEE_NA_USA_QBTU.A,"quads",,21.396873,20.998363,20.851828,20.97781,21.028528,21.072931,21.076872,21.063019,21.049913,21.081186,21.161451,21.213741,21.302902,21.398798,21.510448,21.59572,21.641014,21.687172,21.76055,21.859549,22.011398,22.158773,22.326963,22.514084,22.663778,22.841806,23.032265,23.213434,23.421619,"0.3%"
Nonmarketed Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal Heat Pumps,"Residential: Nonmarketed Renewables: Geothermal Heat Pumps": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_GEHP_NRW_NA_USA_QBTU.A,"quads",,0.014845,0.015337,0.017393,0.019101,0.020705,0.022253,0.023747,0.025304,0.026698,0.02816,0.029547,0.030886,0.032045,0.032748,0.03327,0.033674,0.033866,0.03424,0.034598,0.035141,0.035661,0.036153,0.036614,0.037158,0.03777,0.038506,0.039143,0.039899,0.040578,"3.7%"
Solar Hot Water Heating,"Residential: Nonmarketed Renewables: Solar Hot Water Heating": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SHW_NRW_NA_USA_QBTU.A,"quads",,0.057071,0.065247,0.07449,0.082332,0.089647,0.096699,0.103424,0.110056,0.117083,0.1244,0.131754,0.136737,0.139994,0.139617,0.139465,0.139221,0.13922,0.139213,0.139127,0.139539,0.13956,0.139798,0.139983,0.140358,0.140489,0.140678,0.140518,0.140775,0.140678,"3.3%"
Solar Photovoltaic,"Residential: Nonmarketed Renewables: Solar Photovoltaic": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_SOPH_NRW_NA_USA_QBTU.A,"quads",,0.320742,0.353178,0.397252,0.434426,0.470733,0.509778,0.548173,0.589558,0.635009,0.682952,0.7333,0.78193,0.835914,0.883022,0.929259,0.974571,1.022575,1.077076,1.132468,1.197609,1.26177,1.330909,1.405431,1.483531,1.559299,1.639516,1.720668,1.808161,1.890247,"6.5%"
Wind,"Residential: Nonmarketed Renewables: Wind": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_WND_NRW_NA_USA_QBTU.A,"quads",,0.000561,0.000603,0.000659,0.000705,0.000748,0.000801,0.000854,0.000907,0.00096,0.001017,0.001072,0.001122,0.001122,0.001127,0.001126,0.001128,0.001128,0.00113,0.001135,0.001144,0.001146,0.001154,0.001162,0.00117,0.001177,0.001183,0.001187,0.001194,0.001192,"2.7%"
Total,"Residential: Nonmarketed Renewables: Total": Reference case,AEO.2023.REF2023.CNSM_NA_RESD_NA_NRW_NA_USA_QBTU.A,"quads",,0.393219,0.434366,0.489793,0.536564,0.581833,0.629531,0.676198,0.725824,0.779751,0.836529,0.895673,0.950675,1.009075,1.056513,1.103119,1.148593,1.196789,1.251659,1.307328,1.373433,1.438137,1.508014,1.58319,1.662218,1.738735,1.819884,1.901515,1.990029,2.072695,"6.1%"
Heating Degree Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England,"Residential: Heating Degree Days: New England": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_NENGL_HDD.A,"HDD",,6198,6420,5972,5949,5925,5902,5878,5854,5830,5807,5783,5759,5735,5711,5687,5663,5639,5615,5591,5567,5543,5519,5495,5471,5447,5423,5399,5374,5350,"-0.5%"
Middle Atlantic,"Residential: Heating Degree Days: Middle Atlantic": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_MATL_HDD.A,"HDD",,5742,5779,5348,5325,5303,5281,5259,5236,5214,5192,5169,5147,5125,5102,5080,5058,5036,5013,4991,4969,4947,4924,4902,4880,4858,4835,4813,4791,4769,"-0.7%"
East North Central,"Residential: Heating Degree Days: East North Central": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_ENC_HDD.A,"HDD",,6427,6306,5982,5967,5953,5938,5923,5908,5893,5879,5864,5849,5834,5819,5804,5790,5775,5760,5745,5730,5715,5701,5686,5671,5656,5641,5626,5611,5597,"-0.5%"
West North Central,"Residential: Heating Degree Days: West North Central": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_WNC_HDD.A,"HDD",,6845,6601,6349,6340,6330,6321,6311,6301,6291,6281,6271,6261,6250,6240,6230,6219,6209,6198,6188,6177,6167,6156,6145,6135,6124,6113,6103,6092,6081,"-0.4%"
South Atlantic,"Residential: Heating Degree Days: South Atlantic": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_SATL_HDD.A,"HDD",,2566,2600,2375,2358,2342,2326,2310,2294,2277,2261,2245,2229,2213,2197,2180,2164,2148,2132,2116,2100,2084,2068,2052,2036,2020,2005,1989,1973,1957,"-1.0%"
East South Central,"Residential: Heating Degree Days: East South Central": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_ESC_HDD.A,"HDD",,3487,3442,3180,3168,3156,3144,3131,3119,3106,3094,3081,3069,3056,3043,3031,3018,3005,2992,2980,2967,2954,2941,2929,2916,2903,2890,2877,2865,2852,"-0.7%"
West South Central,"Residential: Heating Degree Days: West South Central": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_WSC_HDD.A,"HDD",,2195,2056,1942,1934,1925,1916,1908,1899,1891,1882,1874,1865,1857,1849,1840,1832,1824,1815,1807,1799,1791,1783,1774,1766,1758,1750,1742,1734,1726,"-0.9%"
Mountain,"Residential: Heating Degree Days: Mountain": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_MTN_HDD.A,"HDD",,4970,4978,4789,4776,4763,4751,4738,4725,4712,4698,4685,4672,4658,4645,4632,4619,4606,4593,4580,4568,4555,4542,4530,4517,4504,4492,4479,4467,4454,"-0.4%"
Pacific,"Residential: Heating Degree Days: Pacific": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_PCF_HDD.A,"HDD",,3212,3503,3250,3241,3232,3223,3213,3204,3195,3185,3176,3166,3157,3147,3137,3128,3118,3108,3098,3089,3079,3069,3059,3049,3040,3030,3020,3010,3000,"-0.2%"
United States,"Residential: Heating Degree Days: United States": Reference case,AEO.2023.REF2023.KEI_HDD_RESD_NA_NA_NA_USA_HDD.A,"HDD",,4234.61377,4246.618652,3976.105957,3957.180664,3938.541504,3920.011719,3901.256104,3882.521973,3863.810303,3845.188965,3826.626221,3807.973389,3789.452148,3770.821289,3752.032959,3733.780029,3715.305664,3696.527344,3678.117432,3659.850586,3641.395508,3622.89917,3604.398682,3585.969482,3567.700439,3549.558105,3531.40918,3513.482422,3495.674805,"-0.7%"
Cooling Degree Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England,"Residential: Cooling Degree Days: New England": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_NENGL_CDD.A,"CDD",,639,500,614,621,629,636,643,651,658,665,673,680,687,695,702,710,717,724,732,739,747,754,761,769,776,784,791,799,806,"0.8%"
Middle Atlantic,"Residential: Cooling Degree Days: Middle Atlantic": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_MATL_CDD.A,"CDD",,835,692,864,874,883,893,902,912,922,931,941,950,960,970,979,989,999,1008,1018,1027,1037,1047,1056,1066,1076,1085,1095,1104,1114,"1.0%"
East North Central,"Residential: Cooling Degree Days: East North Central": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_ENC_CDD.A,"CDD",,813,752,892,900,908,916,924,932,939,947,955,963,971,979,987,994,1002,1010,1018,1026,1034,1042,1050,1058,1066,1073,1081,1089,1097,"1.1%"
West North Central,"Residential: Cooling Degree Days: West North Central": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_WNC_CDD.A,"CDD",,1050,944,1069,1077,1084,1091,1099,1106,1114,1121,1129,1136,1144,1151,1159,1166,1174,1182,1189,1197,1204,1212,1220,1227,1235,1243,1250,1258,1266,"0.7%"
South Atlantic,"Residential: Cooling Degree Days: South Atlantic": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_SATL_CDD.A,"CDD",,2264,2150,2408,2426,2442,2459,2476,2494,2511,2528,2545,2562,2579,2597,2614,2632,2649,2666,2684,2701,2719,2736,2754,2771,2789,2806,2824,2842,2859,"0.8%"
East South Central,"Residential: Cooling Degree Days: East South Central": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_ESC_CDD.A,"CDD",,1730,1637,1805,1814,1824,1834,1844,1854,1864,1874,1884,1894,1904,1914,1924,1934,1944,1954,1964,1974,1984,1994,2004,2014,2024,2034,2044,2054,2064,"0.6%"
West South Central,"Residential: Cooling Degree Days: West South Central": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_WSC_CDD.A,"CDD",,3000,2658,2860,2874,2887,2901,2915,2928,2942,2955,2969,2982,2996,3009,3023,3036,3050,3063,3076,3090,3103,3117,3130,3144,3157,3170,3184,3197,3210,"0.2%"
Mountain,"Residential: Cooling Degree Days: Mountain": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_MTN_CDD.A,"CDD",,1578,1415,1580,1589,1599,1608,1618,1628,1638,1647,1657,1667,1677,1687,1697,1706,1716,1726,1735,1745,1755,1764,1774,1783,1793,1802,1812,1822,1831,"0.5%"
Pacific,"Residential: Cooling Degree Days: Pacific": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_PCF_CDD.A,"CDD",,1098,825,1006,1013,1020,1028,1035,1043,1050,1058,1066,1073,1081,1088,1096,1104,1111,1119,1127,1134,1142,1150,1157,1165,1173,1181,1188,1196,1204,"0.3%"
United States,"Residential: Cooling Degree Days: United States": Reference case,AEO.2023.REF2023.KEI_CDD_RESD_NA_NA_NA_USA_CDD.A,"CDD",,1549.955811,1383.8479,1570.04248,1583.344849,1596.114258,1609.38501,1622.520752,1636.00708,1649.149048,1662.218872,1675.742676,1688.762207,1702.278198,1715.701782,1729.14502,1742.560425,1755.983521,1769.344604,1782.940063,1796.302124,1810.015259,1823.60437,1837.094971,1850.690674,1864.471436,1877.744141,1891.38855,1904.964233,1918.225586,"0.8%"
